pair_id	sentence_id	image_id	audio_id	speaker_id	gender	duration	sample_rate	audio_format	recording_lang	native_lang	bem_transcription	en_translation
10	2	1501811302_5e723fc529.jpg	"10_6225_3_102_02_211102-144137_bem_ddd_elicit_1.wav
"	102	male	5.785	16000	vnd.wave	bem	bem	bushe finshi ilebutuka impanga iyi umu mukati yakola	What is this sheep running away in this fold
29	1	2312731013.jpg	"29_3859_4_291_01_211114-191330_bem_433_elicit_2.wav
"	291	male	10.368	16000	vnd.wave	bem	bem	awe boi telulimi ifumishe imbwa ii,ninama baipele eyo ilelya,cilemonekafye kwati lulimi.	No it's not it's tongue, it is actually a piece of meat it is eating it just looks like a tongue.
18	1	3747543364.jpg	"18_12069_0_181_01_211114-132044_bem_5da_elicit_0.wav
"	181	male	4.514	16000	vnd.wave	bem	toi	utwana utukashana tutatu tuleyangala pamenshi tulepilibauka.	Three girl children are on the water playing while turning.
21	2	2921806371.jpg	"21_7635_1_212_02_220115-172641_bem_62a_elicit_0.wav
"	212	female	4.741	16000	vnd.wave	bem	bem	kunuma yakwe kuli icibumba Ica makumbi makumbi	There is a blue wall behind him.
39	1	2528076469.jpg	"39_1164_2_391_01_211119-091733_bem_901_elicit_1.wav
"	391	female	11.321	16000	vnd.wave	bem	bem	Bushe  baume abafwele insapato ishikwete ilangi lyafita,inkoloko yelangi lya  fita kukuboko kwakukuso elyo nama galashi kumenso finshi balecita?	what is this man doing?
34	2	23022402.jpg	"34_5174_1_342_02_211114-151115_bem_004_elicit_0.wav
"	342	female	3.97	16000	vnd.wave	bem	nbl	umulumendo umo na iminina mupepi no luputa lwa muntu	he is standing next to a grave 
35	2	2192547226.jpg	"35_5334_1_352_02_220114-164902_bem_f12_elicit_0.wav
"	352	female	3.675	16000	vnd.wave	bem	bem	Bonse abashilika nabakwata imfuti muminwe.	All the soldiers have guns in their hands
18	1	7520731.jpg	"18_6898_4_181_01_220117-123804_bem_524_elicit_2.wav
"	181	female	13.975	16000	vnd.wave	bem	bem	Icipimfya caci kulwa cimo cilelebela mumulu muntu bacikantile kucimbayambaya icikalamba elyo balelwisha ukucisuntikanya kuci kulwa cintu bemaninepo	one wall is surface which is being hold by the big motorcar
2	2	3677927146_1696f0b075.jpg	"2_382_3_22_02_211026-155516_bem_2a5_elicit_1.wav
"	22	male	6.919	16000	vnd.wave	bem		kuliko ifimuti ifyo batantika mumisela uko imbwa shilefumina	the are trees lined up behind the dogs
20	1	6832472428.jpg	"20_7260_4_201_01_220116-180706_bem_62a_elicit_2.wav
"	201	female	7.577	16000	vnd.wave	bem	bem	abantu bamo tabakwata umwenso kwena uyu shitata niumo Pali abo bantu	some people have no fear and this man is one of such people
2	1	3351111378_b5d80783a1.jpg	"2_497_0_21_01_211026-083158_bem_cee_elicit_0.wav
"	21	female	4.038	16000	vnd.wave	bem	bem	umwana umwaume aleangala pa menshi.	a young boy is playing on the water at the beach
22	2	4789705901.jpg	"22_7862_3_222_02_211112-194726_bem_50c_elicit_1.wav
"	222	male	3.221	16000	vnd.wave	bem	lam	mu musebo muli ibumba lya bantu	there's a group of people on the road
6	1	429205889_ff5a006311.jpg	"6_1468_2_61_01_211027-150805_bem_53e_elicit_1.wav
"	61	male	13.884	16000	vnd.wave	bem	bem	elyo naposa amano saana kuntu alelolesha kwati palifye nefyo alebelenga pacibumba.	She is concentrating while looking at the wall as if she is reading something.
6	2	3364715316_df8c20bac1.jpg	"6_1263_3_62_02_211026-091640_bem_976_elicit_1.wav
"	62	male	10.89	16000	vnd.wave	bem	bem	kumuulu nakubutisha nganshi kuti caba nifyofine infula ileloka  eco bonse nababomba nokubomba	this guy looks really bright therefore it can be raining and they all look wet. 
2	2	1130401779_8c30182e3e.jpg	"2_4164_1_22_02_211026-201758_bem_cee_elicit_0.wav
"	22	female	6.102	16000	vnd.wave	bem	bem	imbwa shilesabusha na menshi ilyo shileya elyo  cili kwati umumana taulepele sana.	they are splashing water while they are doing so
22	2	2897141031.jpg	"22_2040_3_222_02_211109-111722_bem_004_elicit_1.wav
"	222	female	3.017	16000	vnd.wave	bem	nbl	paka mupando kamo kuli umufuko	there is a handbag on one chair 
11	2	3621741935_54d243f25f.jpg	"11_6356_3_112_02_211101-231022_bem_574_elicit_1.wav
"	112	female	3.38	16000	vnd.wave	bem	bem	Pali icnga iili mupepi fye napo ekele	there is a bicycle next to her
34	2	349931518.jpg	"34_5162_1_342_02_211114-144654_bem_004_elicit_0.wav
"	342	female	3.13	16000	vnd.wave	bem	nbl	Bambi na bekata mu lubali lwa motoka	some holding on to the sides of the car
7	1	2670637584_d96efb8afa.jpg	"7_1541_2_71_01_170101-204537_bem_74d_elicit_1.wav
"	71	female	6.511	16000	vnd.wave	bem	toi	bushe finshi alemona, muli uyu musango? 	What do you think he is looking at?
6	1	2710698257_2e4ca8dd44.jpg	"6_5010_2_61_01_211028-062605_bem_976_elicit_1.wav
"	61	male	10.481	16000	vnd.wave	bem	bem	epo eminine nipatumapili utunono ukuli kululamba wabemba umukalamba nganshi	He is standing on a small mountain that is s on the shore of the sea
31	2	47576069.jpg	"31_4338_3_312_02_211110-132502_bem_83a_elicit_1.wav
"	312	female	2.064	16000	vnd.wave	bem		nalimo kuti caba ifyo fine 	that could be the case
12	1	3557148230_7fc843e5de.jpg	"12_2910_4_121_01_211031-124624_bem_bd6_elicit_2.wav
"	121	male	5.944	16000	vnd.wave	bem	lam	saana fye, elyo takafwele nesapato	very much and he doesn't have shoes
27	1	3121881702.jpg	"27_9058_0_271_01_211113-170443_bem_f07_elicit_0.wav
"	271	male	4.787	16000	vnd.wave	bem	nya	Batata nomwana nabalala pa bed munga'nda.	A man and a child are sleeping on the bed inside the house
22	2	427936315.jpg	"22_7798_3_222_02_211112-065229_bem_50c_elicit_1.wav
"	222	male	4.151	16000	vnd.wave	bem	lam	imbwa naitoloka  uku konkelela inbamle	the dog is jumping so high to catch the plate
13	1	3116731299_6139b25c18.jpg	"13_6824_0_131_01_211029-171144_bem_9ed_elicit_0.wav
"	131	male	5.036	16000	vnd.wave	bem	nya	Imbwa naikwata aka muti ku kanwa ile pita pa lunkoto	A dog has a stick in it's mouth and it's passing on the grass. 
25	1	2489585777.jpg	"25_2778_0_251_01_211109-174138_bem_5da_elicit_0.wav
"	251	male	5.422	16000	vnd.wave	bem	toi	Shikulu bantu naikala mu office aletinika na computer yaku nchito.	A man seted in his office on the computer.
2	2	3030823649_3b7b6c728d.jpg	"2_381_1_22_02_211026-155428_bem_2a5_elicit_0.wav
"	22	male	5.921	16000	vnd.wave	bem		ilebutuka mufipaile nga kunuma ya nganda palubansa	it looks like it's running in a backyard
9	1	3484576025_a8c50942aa.jpg	"9_5856_0_91_01_211030-065744_bem_901_elicit_0.wav
"	91	female	5.626	16000	vnd.wave	bem	bem	imbwa naima ibaka mumulu palubansa lyamanemekela	a dog has lifted its legs on a tarred field.
11	1	2510197716_fddca0ac75.jpg	"11_6500_4_111_01_211102-134942_bem_574_elicit_2.wav
"	111	female	4.65	16000	vnd.wave	bem	bem	Ali pa lunkoto ululi mupepi no mumana kabili kuli  ne nganda kunuma yakwe	she is on a lawn near a river and there's a house near her
35	1	4695473432.jpg	"35_5372_0_351_01_220117-153303_bem_ba5_elicit_0.wav
"	351	male	5.195	16000	vnd.wave	bem	bem	Umwaume umo uwabuut inkanda naikatapo cimo icilefutumuna icuushi ku mupeto.	One white skinned man is holding a smoke dispenser that has smoke coming out of the wheel
26	1	3944966088.jpg	"26_8736_4_261_01_211111-093602_bem_8f1_elicit_2.wav
"	261	male	4.764	16000	vnd.wave	bem	bem	Limbi bale chimfyanya ukumona uwaishiba uku pilibuka sana	maybe they are competing to see who is good
20	2	4818675580.jpg	"20_1468_1_202_02_211112-112207_bem_654_elicit_0.wav
"	202	male	4.038	16000	vnd.wave	bem	bem	mune bushe finshi bakecita?	what are they doing?
1	1	2209888959_d636b1be0b.jpg	"1_3882_0_11_01_211106-193455_bem_cee_elicit_0.wav
"	11	female	3.743	16000	vnd.wave	bem	bem	umwanakashi umwaice naiminina necimuti  kuminwe	A girl is standing with a stick on her hand
27	1	1104881373.jpg	"27_3202_2_271_01_211109-132008_bem_e72_elicit_1.wav
"	271	female	5.581	16000	vnd.wave	bem	leh	Umukashana alemoneka alefwaya ukumwenekeshe efyo umulumendo alebika	The lady looks like she really wants to see what the gentleman is doing.
18	2	3582920844_2742804f3d.jpg	"18_8045_1_182_02_211108-210143_bem_433_elicit_0.wav
"	182	male	10.118	16000	vnd.wave	bem	bem	Akasuba nako nakasanika ubusaka saana, kamoneka bwino saana lilya kasanika pamenshi asabwishe.	The sun is brightly shining on the water, even his hair shines nicely.
1	2	3285298241_9b1ed98d19.jpg	"1_3896_1_12_02_211104-081706_bem_2a5_elicit_0.wav
"	12	male	5.013	16000	vnd.wave	bem	bem	umupila awikete kwati alipangwisha umupila	he is holding a ball as though he wants to score a goal
7	2	2404520067_87798dbaee.jpg	"7_1685_3_72_02_211031-140908_bem_40e_elicit_1.wav
"	72	female	4.106	16000	vnd.wave	bem	bem	nayasamuna nakukanwa pakubutuka	And its mouth is open as it runs.
37	1	3729748378.jpg	"37_5824_2_371_01_211111-223558_bem_5bb_elicit_1.wav
"	371	male	4.9	16000	vnd.wave	bem	bem	mumenshi bali muli ifintu ifilemoneka kwati mamashini	under the water there are things which are looking like machines
24	1	491987177.jpg	"24_2608_0_241_01_211110-133839_bem_150_elicit_0.wav
"	241	female	8.303	16000	vnd.wave	bem	bem	Batata babelele mucikulwa cabwalwa, bafwele ilaya lya buta elo kukuboko bekete icipyango.	A man in the building is putting on a  white shirt with a broom on his hands.
1	1	3408130183_f038bdaa4f.jpg	"1_156_0_11_01_211031-132520_bem_cc3_elicit_0.wav
"	11	male	8.167	16000	vnd.wave	bem	toi	imbwa shibili shilebutuka	two dogs are running 
33	1	100197432.jpg	"33_4711_4_331_01_211109-122718_bem_c25_elicit_2.wav
"	331	female	8.712	16000	vnd.wave	bem	nse	kabili eci ichifulo balimo na chikwata ifikulwa ifyalekana-lekana ifitali	In this area, there are also alot of different  huge buildings
27	1	205635075.jpg	"27_8980_0_271_01_211113-103737_bem_f07_elicit_0.wav
"	271	male	4.855	16000	vnd.wave	bem	nya	Abalumendo naba kanshana nabekala bale isha.	some men and ladies are sited chatting 
35	1	2311401527.jpg	"35_11050_4_351_01_220118-095230_bem_ba5_elicit_2.wav
"	351	male	4.764	16000	vnd.wave	bem	bem	Alemoneka ngoulekopapo fimo ifili pachibumba yang'anda iyi.	She appears to be taking pictures of the things that are on the wall of this house
10	2	279901198_e7a88c855a.jpg	"10_6048_1_102_02_211101-171000_bem_ddd_elicit_0.wav
"	102	male	5.013	16000	vnd.wave	bem	bem	Shilemonka kusalangana, kwati tashili pamo	They look scattered as if they ain't together 
39	2	4242755429.jpg	"39_1156_3_392_02_211118-122258_bem_1e5_elicit_1.wav
"	392	female	9.301	16000	vnd.wave	bem	bem	Umwaume alipanshi cipalile kwati ingombe naimupunka kabili umwanakashi uufwele ishati lya kashikilila ne citenge Ca makumbimakumbi alebutukila ukuli umwaume	the man is outside it seems he was bashed by the cow and the lady is running towards him
16	2	4759514203.jpg	"16_6269_3_162_02_220108-180740_bem_9fd_elicit_1.wav
"	162	female	8.507	16000	vnd.wave	bem	bem	Awe kanshi naciwama nganshi ndesubila kwalaba ukunwa, ukulya nokushana kuncende iyi.	That is nice i think there will be drink ,eating and dancing.
14	1	352981175_16ff5c07e4.jpg	"14_3299_2_141_01_211103-221935_bem_ebf_elicit_1.wav
"	141	female	10.027	16000	vnd.wave	bem	bem	ifyola fili ifyafiita	The bags are black.
19	1	4749161347.jpg	"19_1227_4_191_01_211108-125830_bem_665_elicit_2.wav
"	191	male	10.595	16000	vnd.wave	bem	bem	Pali ililine bumba pali na abanensu ba inkanda yafita, kwena uupalamene kucikope alifita ukucila ulya uutalwikeko.	among these watching are some blacks, the one closest is darker than the other a bit further
36	2	2844654521.jpg	"36_5461_1_362_02_211113-114448_bem_dbf_elicit_0.wav
"	362	female	7.305	16000	vnd.wave	bem	bem	namayo alemoneka uwasakamana elyo kwati ali napabukulu	this woman looks worried and it seems she's pregnant 
22	2	5989225588.jpg	"22_7914_3_222_02_211112-222758_bem_50c_elicit_1.wav
"	222	male	6.057	16000	vnd.wave	bem	lam	babili naba fwala fya fita umo CA makumbi makumbi	two are dressed in black woke one is dressed in blue
7	1	3540241710_a4f49cde52.jpg	"7_5287_2_71_01_211103-151206_bem_1e5_elicit_1.wav
"	71	female	8.099	16000	vnd.wave	bem	bem	eyaye necinshingwa chakwe nacilanga mubukulu mupepi nomulumendo afwele isheti lyakatapa katapa	Yes even the shadow has shown.
9	2	2247192427_5e106f24a9.jpg	"9_2131_1_92_02_211026-154859_bem_901_elicit_0.wav
"	92	female	2.699	16000	vnd.wave	bem	bem	Balecimfyanya pakuteya umupila	They are competing while playing
30	1	3332136681.jpg	"30_4042_0_301_01_211110-002450_bem_654_elicit_0.wav
"	301	male	5.535	16000	vnd.wave	bem	bem	Umulumendo  umusungu ali pa ncito alebomba	A white gentleman is at work.
18	1	270724499.jpg	"18_12014_4_181_01_211114-092905_bem_5da_elicit_2.wav
"	181	male	10.005	16000	vnd.wave	bem	toi	ee boi,ndemona cibafye nefyo imbwa ii baikusha,imbwa shalicenjela ukisambilila ifilifyonse mwaifunda palya ili iyaice.	Well not really, but it depends on how and what you train your dog to do or not to do otherwise dogs are clever and teachable animals.
5	1	3223055565_68973f5d20.jpg	"5_1111_2_51_01_211102-065812_bem_e3a_elicit_1.wav
"	51	female	6.602	16000	vnd.wave	bem	bem	imbwa naitolokela mumulu pantu ilefwaya ukusompola icikwete umwaume muminwe	it wants to grab what the m is holding in his hands
14	2	3229519418_040f05ced1.jpg	"14_3312_3_142_02_211029-183719_bem_743_elicit_1.wav
"	142	male	4.197	16000	vnd.wave	bem	bem	pacikope Pali icikuulwa elyo necimuuti	On the picture there is building and tree.
14	1	2502007071_82a8c639cf.jpg	"14_3306_2_141_01_211103-230242_bem_ebf_elicit_1.wav
"	141	female	10.98	16000	vnd.wave	bem	bem	umwaice nafwala akasote kamakumbi makumbi	The child is wearing a blue hat.
8	1	3494345896_dd6b32cfa3.jpg	"8_1858_2_81_01_211031-045240_bem_abe_elicit_1.wav
"	81	male	4.696	16000	vnd.wave	bem	bem	Iili kuntanshi naisuma mu kupila	it is in front
14	1	1056873310_49c665eb22.jpg	"14_7207_4_141_01_211112-120659_bem_f08_elicit_2.wav
"	141	female	8.666	16000	vnd.wave	bem	bem	Cilemoneka kwati shishile nabalumendo abatemwa ukwisa mukunina impili sha kuncede iyi.	It looks like they are here with the guys that like coming to hike the mountains.
32	1	300577374.jpg	"32_4632_4_321_01_211112-174127_bem_e94_elicit_2.wav
"	321	female	6.783	16000	vnd.wave	bem	nyj	cacine nasumina futi pacende iyi pali necikulwa canganda iyikulu	Yes i agree in  this area there is a big house building.
4	2	242064301_a9d12f1754.jpg	"4_798_1_42_02_211023-212754_bem_5a5_elicit_0.wav
"	42	male	6.942	16000	vnd.wave	bem	bem	Uyu umulumnedo kumbali ale endela kuli icibumba icafita	There is a black wall near by where he is walking.
14	1	3613375729_d0b3c41556.jpg	"14_3498_4_141_01_211105-232947_bem_ebf_elicit_2.wav
"	141	female	5.354	16000	vnd.wave	bem	bem	umuntu nafwala icimpopo ukuti Ali uwacingililwa nga apona	A person is wearing a helmet for protection.
17	1	2686141763.jpg	"17_6551_0_171_01_220112-185331_bem_9fd_elicit_0.wav
"	171	female	5.013	16000	vnd.wave	bem	bem	Abakashana batatu nomulumendo umo mu bwato.	Three ladies and a boy are in a boat.
8	2	2144049642_070cf541b4.jpg	"8_1882_1_82_02_211031-050141_bem_ce8_elicit_0.wav
"	82	male	5.603	16000	vnd.wave	bem	bem	Nakwata na amapensulo ayamalangi ayengi 	she has very colourful pencils
30	1	3530502404.jpg	"30_9853_4_301_01_220122-094420_bem_c25_elicit_2.wav
"	301	male	13.725	16000	vnd.wave	bem	bem	Cilemoneka kwati uyu umwaume ali mumbali ya musebo kabili kukulyo kwakwe kuli icikulwa	This fat man who is on a motorcycle is along the road and on his right there is a building
21	2	4543570621.jpg	"21_7463_1_212_02_220115-100246_bem_62a_elicit_0.wav
"	212	female	6.738	16000	vnd.wave	bem	bem	uyu shikulu bantu wankanda yabuta, elyo alikwata imishishi shabuta mumbali yalupala.	This old man is white skinned, and has got some hair around his bald head.
16	1	3657503733_9888ccf05e.jpg	"16_7557_2_161_01_170101-082542_bem_74d_elicit_1.wav
"	161	female	12.659	16000	vnd.wave	bem	toi	chipalile kwati umumupanga amo enga jupisha bwino injiga yakwe elofuti icilengele emishe amaboko chipalile kwati naufwa bwino saana	It looks like this is the bush he can jump with his bicycle with.
8	2	3319177177_130a72b8ae.jpg	"8_1782_3_82_02_211026-070515_bem_ce8_elicit_1.wav
"	82	male	8.008	16000	vnd.wave	bem	bem	Cinefye, nico nakuba balipanga bwino pakuti banina bwino ilyo balecofa 	the place is good enough for climbing while they ride their bicycles
27	2	224663185.jpg	"27_9166_3_272_02_211113-191250_bem_b15_elicit_1.wav
"	272	female	5.558	16000	vnd.wave	bem	leh	Uyu ulebeya imyenfu shabatata alemoneka umwaice sana. 	the barber man looks very young
6	1	3724759125_2dc0e1f4a3.jpg	"6_1384_2_61_01_211027-062301_bem_53e_elicit_1.wav
"	61	male	15.563	16000	vnd.wave	bem	bem	umwakwangalila muli nomu shelemuko uwabuta nangu umushelemuko wakaena takulemoneka uwutali.	The play ground has a slide even though the slide is not long.
24	1	3428985247.jpg	"24_2637_0_241_01_211110-142708_bem_150_elicit_0.wav
"	241	female	8.349	16000	vnd.wave	bem	bem	Umulumendo alipanchito, kumaboko ekete icibombelo elo alelolesha panshi pafyo alecita.	A man at work,holding working tools.
30	1	5476688378.jpg	"30_4148_4_301_01_211110-152846_bem_654_elicit_2.wav
"	301	male	6.987	16000	vnd.wave	bem	bem	eya mune aliba uwakanshiwa kuncito yakwe uyu muntu	Yea dear, you can tell just by the look of things.
29	1	3326204251.jpg	"29_3846_2_291_01_211114-114750_bem_433_elicit_1.wav
"	291	male	15.2	16000	vnd.wave	bem	bem	ee boi walungika,elyo abekala apapene bafwile balikosa saana,mwati kuti wakumamo ukukweleka ulupili nokutentemuka cilabushiku.	Yes you ar right, and the people that stay here should be strong because you cant manage going up and down the mountain every day.
14	1	693164706_9624582e69.jpg	"14_7043_0_141_01_211111-095450_bem_f08_elicit_0.wav
"	141	female	8.122	16000	vnd.wave	bem	bem	Umwana umunono nafwala ifyakashika necipyango icamenshi pamulu wang'anda.	A child dressed in red is holding a broom on top of the house.
10	2	2300168895_a9b83e16fc.jpg	"10_6107_1_102_02_211101-231420_bem_ddd_elicit_0.wav
"	102	male	4.809	16000	vnd.wave	bem	bem	Cilya icabuta tacilemoneka nga icakulya 	That white staff doesn't look like food 
9	1	2195620255_6693479734.jpg	"9_5871_4_91_01_211030-101148_bem_901_elicit_2.wav
"	91	female	4.923	16000	vnd.wave	bem	bem	Cilemoneka kwati imbwa shaciya kumo ukutali noko shikala	it seems as if these dogs went somewhere far away from home.
26	1	5171029614.jpg	"26_8887_4_261_01_211112-033152_bem_8f1_elicit_2.wav
"	261	male	5.445	16000	vnd.wave	bem	bem	Ehe kaili ifyakufwala ngataule fiwasha bwangu nganafi lamba fila kowela	you know clothes when you are not washing them quick tend to be difficult washing them again 
39	2	523991446.jpg	"39_1116_3_392_02_211118-103038_bem_1e5_elicit_1.wav
"	392	female	5.263	16000	vnd.wave	bem	bem	Bushe aba baume babili nomwanakashi umo uulecinda  panshita ya mucibansa ilemoneka Shani?	what about the other two men behind her?
34	2	780260019.jpg	"34_4989_3_342_02_211113-182607_bem_50c_elicit_1.wav
"	342	male	5.626	16000	vnd.wave	bem	lam	Ku lubali ukuso, aba lumendo babili baletamba bakalwisha ba mulilo.	on the left, two young men watching the firefighters
11	1	2814406547_a237ef0122.jpg	"11_6417_0_111_01_211102-093154_bem_574_elicit_0.wav
"	111	female	6.102	16000	vnd.wave	bem	bem	Abaume abakalamba nabafwala umwingila kabili nabashintilisha pa cakupoosamo ifisoso	An elderly man is wearing what seems like a night dress and he is leaning against a bin
6	2	3005126574_49c28ffbee.jpg	"6_5042_3_62_02_211031-040643_bem_53e_elicit_1.wav
"	62	male	15.654	16000	vnd.wave	bem	bem	kuncende ali kuntu twafita bushe cinshi engalalolekesha ulya musango	He is in a very dark place. Why is he staring like that?
30	1	2758942112.jpg	"30_4129_4_301_01_211110-143235_bem_654_elicit_2.wav
"	301	male	9.801	16000	vnd.wave	bem	bem	ukuligana nefyo bekete kuminwe balemoneka nga abawamya iyi incende	Looking at what is in his hands he seems to be the area caretaker.
35	2	8046655694.jpg	"35_5246_3_352_02_220114-134243_bem_f12_elicit_1.wav
"	352	female	8.643	16000	vnd.wave	bem	bem	Kuti caba ifyo fine pantu kwena balemoneka abapalanako panono. Nangu limbi kuti abafye uwa mu lupwa.	That could be the case because they resemble each other a bit.  Or maybe they are just related
30	2	3536361671.jpg	"30_4084_3_302_02_211109-150852_bem_dbf_elicit_1.wav
"	302	female	9.506	16000	vnd.wave	bem	bem	icocena mune cishinka elyo nefyo balemulangisha nafyo nafiwama	The same white things are so nice.
21	1	2286239223.jpg	"21_1920_2_211_01_211112-235403_bem_83a_elicit_1.wav
"	211	female	6.012	16000	vnd.wave	bem		kabili pantu bekalile kunuma yabo kulepita ifimbayambaya fya buta nefya fita 	behind where they are seated, some white and black vehicles are passing.
35	1	6728804733.jpg	"35_5411_2_351_01_220117-162934_bem_ba5_elicit_1.wav
"	351	male	5.83	16000	vnd.wave	bem	bem	Kwena efyo mulemoneka elyo na umwine talemoneka kwati aletina ukubomba uyu umulimo.	That is how it appears and he doesn't seem to shy away from doing this work
38	1	4162939402.jpg	"38_11782_0_381_01_211114-123808_bem_ba5_elicit_0.wav
"	381	male	6.806	16000	vnd.wave	bem	bem	Ibumba ilya bantu nalikolongana pa ntemba apo baleshitisha ifintu ifyalekana lekana.	a crowd of people has gathered at the small shop where different items are sold
13	2	3223973114_6c15538ce9.jpg	"13_6985_3_132_02_211105-215725_bem_ce8_elicit_1.wav
"	132	male	10.481	16000	vnd.wave	bem	bem	Na ikwata nomushipi uwa fita mumukoshi nakamo aka bulungana aka shimbi akanono	It's having a black choke collar in it's neck, there is also a small one. 
16	2	2426215757_e008a91fcb.jpg	"16_7649_3_162_02_211110-155701_bem_eab_elicit_1.wav
"	162	male	7.827	16000	vnd.wave	bem	bem	elo kunuma kuli nefimuti ifingi saana chipali aka akamumana kabelafye mupanaga 	Behind him there are a lot of trees.
29	1	4612954712.jpg	"29_3770_0_291_01_211114-094926_bem_433_elicit_0.wav
"	291	male	8.122	16000	vnd.wave	bem	bem	utukashana tubili natufwala namalaya ayapalana tuleyangala.	Two little girls dressed in the same dresses are playing.
30	2	2557972410.jpg	"30_9873_1_302_02_220121-141216_bem_eb0_elicit_0.wav
"	302	female	8.621	16000	vnd.wave	bem	bem	Bushe uyu umwaume umwaice uuli mu cipanda afwele shani?	What is the boy in the goal post wearing?
12	1	413231421_43833a11f5.jpg	"12_6579_4_121_01_211105-124204_bem_9ed_elicit_2.wav
"	121	male	4.673	16000	vnd.wave	bem	nya	Limbi kule efyo ile fwaya panshi epo ile yimba	Maybe there is something he is looking for down where he is  digging
1	1	3408130183_f038bdaa4f.jpg	"1_156_4_11_01_211031-132520_bem_cc3_elicit_2.wav
"	11	male	9.619	16000	vnd.wave	bem	toi	iyili kuntanshi yintu yakashika nelyo iyili kunuma yintu yafita	the one in front has brown fur while the one at the back has black fur.
33	2	7573421864.jpg	"33_4752_3_332_02_211109-155003_bem_b14_elicit_1.wav
"	332	female	6.307	16000	vnd.wave	bem	nse	uyu umukashana wa nkanda iya buuta no mushishi wakwe wali fiita	This little one is light skinned with dark hair
19	2	3806961324.jpg	"19_7033_1_192_02_220118-092950_bem_5bb_elicit_0.wav
"	192	male	6.534	16000	vnd.wave	bem	bem	Naikata ukuboko kumo mumusana cilya alelolesha ubutali bwanshimbi shili mucikulwa	he's holding his hands on waist while watching the metals in the building
39	1	4833518473.jpg	"39_1054_2_391_01_211118-204532_bem_901_elicit_1.wav
"	391	female	11.888	16000	vnd.wave	bem	bem	Umwaume aninine mucikwepe  icama galashi lelo umwaume akele panshi naikatilila icola ce langi lya makumbimakumbi nokuboko kwakukuso	the elevator is made of glass but the man is sitting down holding his bike bag in his left hand
31	2	444047125.jpg	"31_4420_3_312_02_211110-230201_bem_83a_elicit_1.wav
"	312	female	5.989	16000	vnd.wave	bem		awe kwena aba bantu balitemwa amasambililo pantu kuntu bali takwikala bantu	these people really like learning because they are in a place that is not inhabited
