IMAGE #,SPEAKER 1l,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
3488,"A group of white people are strolling along the road, they are colorfully dressed.","These colors include red and black, they are walking on the way side amidst four traffic reflective cones. ",One man is wearing a white and red long sleeved bomber jacket.,"This group seems to be walking arms crossed around their bellies, as if it is the month of June here in Zambia. ",In the front view of this group is a seemingly old building.
3489,A white gentleman is jumping in his suit with a photogenic pose for a pic.,He is wearing a wide smile as one who's received his monthly pay.,Afar off a tall store like building behind him with a man walking out of its doors.,That store behind the man looks quite rich with most consumables like PnP and SHOPRITE.,At the same time the building is sort of an Office area for white collar jobs.
3490,"Four Asian ladies are walking down the passage, all of them in short pants.",They appear to be University students in mini clothes.,"All of them have long and smooth black hair, one of them is handpicking something in her bag.","Yes, while two of her friends are busy storytelling.",A lady close to her also is carrying a black handbag.
3491,A white man is jumping across the singing stage to the fans.,"You would fear seen him fall, whatever he was dancing to nobody knows.",It is the Western culture when musicians are excited to join their fans by jumping.,"Hahaha you are right, music is an interesting profession with the unexpected expressions.","And when you look closely, his fans are excited too and spread their hands up to hold him safely."
3492,"A white young couple is in the water jumping, the man is not wearing a shirt.","The boats behind them are parking, they look to be machine boats or so.",The couple is also holding hands while jumping in the water.,The lady is wearing a t-shirt with written words of SPEND TIME FOR MONEY!,Either in the middle or near the Lakeshore there is a bridge like structure.
3493,A white lady is in the room painting her lips red.,"Amanda L. Bennett is also President of a certain organization, she is preparing to leave.",She has got long and black hair.,"Just like every other lady before the mirror, they spend more time delaying themselves.","This room is made up of planks, behind her a wall of planks is part of the house. "
3494,Dark skinned men are playing basketball.,"They are playing nearby the goal, as you can see the player in orange is looking at his colleague.",One player is having the ball while another one is fighting to grab it.,"The opponent is in a blue jersey, and on the back of his short words LIONS hahaha.",The other player in orange is having number 5 on the back of his vest.
3495,"A white lady is walking in a black dress with a red bag, also her gloves designed fashionably.","She looks doll like holding a black hand fun, she is under the shade of a two colored umbrella. ",The two colors of an umbrella are white and red.,"Then her hat is made of fruits, how artistically it glitters.","Definitely these are fruits, this woman is headed to a fashion and design show event."
3496,A white old woman is seated on the pillar of a pave with a pussycat behind.,"Either she is female or male, with her cups in the sides, you cannot really tell because she is facing the camera her back.",In her front view there is a building with white ribbons.,"Indeed this is a business place, but it is though the same way we see others in our streets so is this person.",On the top part of this building there is a red poster written on with white color.
3497,A group of white people are by the railway station scattered around.,With their bags they are looking at the passing train like those waiting for it.,A lady at the far end back is having a black bag and she has brownish hair.,"Most of the women in the picture have long and brown hair, without hats.","The train they are waiting for, though bypassing them, is painted blue."
3498,A girl child in a white shirt is playing on a trampoline.,"This trampoline had got other colors including green, orange, gray, and red.",This little girl has got brownish hair which she has tied backwards with a blue hairband.,"She is also wearing white socks, as you can see her leg lifted backwards.",There are trees around the play park where she is playing from. 
3499,A white lady is playing with her black dog on the grass.,It is running after the flying disc as she is training it for frisbee at home.,Although this disc looks like kite flying in the atmosphere.,"Hahaha you could be right, in the first place I almost thought it is a bird she and the dog are after.","She is wearing a blue trouser, the lady also has brownish short hair. "
3500,Two white ladies in blue are jumping up.,They are in the streets of people dancing to their traditional dance.,One lady is wearing a red cap while the other one is without.,Behind these ladies musicians are playing trumpets for them.,"A lady is watching by the way side, she is wearing a checked with black and white linen."
3501,"A white lady with long hair, is smiling at the to the camera.","She is having a chocker and earring on, with her mouth open.  ",And she is smiling as one being made excited by the photographer.,"Most likely, as she is widely smiled at the camera.",The background has also a blue color with unidentified things.
3502,A white young girl is by the wayside having a photoshoot.,"She is playing with a colorful play cart, also around her dry leaves.",The play cart handle is of dark yellow.,"Besides she is wearing like colors,  except for the shoes.",Her shoes have red with a yellow ribbon.
3503,A white woman is sitting on a concrete pillar by the wayside.,She is looked into her black bag on the laps with sunglasses in the forehead.,A man is in a white shirt with short hair is also behind her.,"With the sun on its pick, she seems to look for a facecloth to wipe hahaha.","Surely, even with this pressing crowd around one would be dehydrated."
3504,Rugby players are on it like fighting elephants.,"They are tussled with each other, two in black and one in white.",And both players have their helmets on with a man coming from the back in white cap.,"Exactly what rugby requires it participants to do, otherwise it is a vigorous sport.",Even the man coming over is in a white trouser with striped t-shirt.
3505,A white gentleman is with his dog jumping up to grab from his hand a bate.,"The dog is trying hard to reach out to the stick in his hands, it has a black dog belt around.",Him and his dog are in the bush with trees and a mountain around.,The grass on the ground is dry and gravel like during the month of October.,The black dog belt has also got a red clipper below.
3506,Two young Asian Indian looking girls are on a desert white animal.,"These are camels, as they are two, and each girl on her own ride.",Some girl is in a green trouser while the other one in blue.,Down the camels is a woman holding the camel ropes together.,There is a mountainous and hilly landscape around the the hats.
3507,An old white folk is alone pressing on some button machines in a cafe.,"Hahaha it is a bonanza game, these are those games that have both the young and old addicted.",The man is also in spectacles and a windbreaker.,Bonanza and other alike games can be exciting even if solo.,The same gaming center has lights like RGB all over.
3508,Sword user players in white are on the stage competing,"The two fencers are seemingly taking turns, they are in white and some in black.",One of the ladies behind the man is in white.,"And another man is on a chair seated with a partially unbuttoned shirt, his tummy carelessly exposed.",And within the watching crowd a man in a black cap and green shirt is holding his guitar.
3509,A red racing car is on the road with a number 63.,It is speeding up like a training session or road test.,"As if the car is not moving at the same time in motion, at times pictures are just puzzling.",Indeed one wonders at the way they are unable to get a clear view of the some pictures.,Beside the car there is a portion of land with trees and fence around.
3510,Whites hockey players are pushed on one end grappling with a hockey ball.,"They are sliding and skidding in a smooth white hockey pitch, ",They are playing in black jerseys with a yellow mark.,The woman fallen on by the other players is likely to be the one having carried away the ball.,"Actually they are dressed alike but they are not the same jerseys, and as usual a supporting crowd is cheering for them."
3511,A white man with long hair is in a white muscle t-shirt.,This Italian looking man is playing a violin with lights on.,Behind on the walls there is a picture frame with a lady drinking from a bottle.,"Appearing to look at the man, the  picture has 'ITALIAN ACCENT' and 'NEW YORK' written on.",This picture is stuck on a white wall.
3512,Two little white children are on the road in a white vehicle.,The girl is waving the flag of the United States of America on the fire brigade truck's window. ,"The girl is in red while the boy in blue t-shirt, both of them are looking through the open window.",And the driver is in his uniform keeping his left.,But the trees by the wayside are only visible from a top view.
3513,A brown dog is jumping grass in snow.,It has a black dog belt and in a snow ice.,With a black dog belt it is jumping in grass.,The mouth is white as it was sniffing snow.,And the place is quite cold with a snowy weather.
3514,Vehicles of different colors are parking in the wayside.,And by the side two ladies ahead of the three men behind.,The men are in red while one of them is in a white robe with a blue throwover.,"This is either a Nicaragua or Asen's flag, as they bear similar flag colors.",Even the parking vehicles have got a similar color of the men's clothes.
3515,Some hockey players are playing in sport.,Near them a ref with his whistle and the linesman afar off.,"They both have their helmets on, for protection against injury.","The blue one has number 11, and the other player either 48 or 46.",The crowd is also in full support of the game as this was a massive turn out.
3516,Some female roller skaters are by a roller rink with a woman in front wearing green.,"All the players are in their roller skates staggered, each one in her own clothing.","They all are in helmets too, and in all they are wearing there is a blue color.","It is funny enough, to have looked at the woman in front and then thinking it is a man.",And afar off the women roller skaters a man is in his referee jersey.
3517,"A crowd of people is seated to eat in a big eating place, with food on tables like a feast. ","This is a crowd of the whites gathered to eat as one, their tables are luxuriously served.","And most of the men here have short trimmed hair, with one of them in a white shirt. ",These men are in short hair as every male trims his heard every after a while.,And they are seated as if attending a wedding reception.
3518,A white man is in a floral head cover.,It is a ripped dangle with an opening on the mouth.,This man has also got a moustache.,The walls behind him have a drawing of a an Asian Indian looking woman in flowers.,For sure this drawing is also got a red dot on the forehead just like the Indian women.
3519,A white man is on grass with a cigarette in his hands near the head.,"He is on a bench without a shirt but in black sunglasses, with a magazine.",The gentleman has also got short trimmed hair and looking in the sides.,The front of the table seems to have a bottle of some drink with disposable cups.,And this bottle on the table has got a green bottle top.
3520,A black man is on the street playing his guitar.,"And singing in a black microphone, with a woven cap and black sunglasses.",While a white man in a black jersey is walking towards him.,And in the back of the white man a black haired lady is looking to him like a well-wisher.,Just behind the guitarist is a building of concrete blocks with a green poster.
3521,Two dogs of different colors are on a white sheet playing in the house. ,"Close to the TV, and the black dog is laid on the other one.",The black dog also has a green dog belt around the neck.,Then behind these dogs is a house wood stove but not burning.,"Apparently these dogs may be house dogs, as you can relate to how the whites tame them."
3522,Three darkish boys are in the river swimming.,The one in front of his friends has hands up for to pose.,The one behind is wearing a wide smile.,"All of them are in the water and nonhydrophobic, they are Somalian looking. ",And in front of the first boy raising hands up is a brownish dock rope. 
3523,Two young ones are in a room with the older brushing her teeth while the younger laying face up on a couch.,"These Asian looking cuties are in a room with a white couch behind the girl brushing, and a black pillowcase.",The girl brushing is floral pajamas.,"She is brushing with a pink tooth brush, and seems to be watching TV.",While beside the baby on the couch a pillowcase is immediate by its head.
3524,An old Arabic looking woman is in the market with a young boy walking.,This woman is looking elsewhere but the boy is looking forward.,She has got a long head cover just like the lady behind the boy is also covering.,"In this picture all the women are in different long head covers, besides a man in white kufi.",And this woman is in a skirt which has white and black colors.
3525,An old white woman in a black windbreaker is doing some road run.,"She has a black headband, orange sports sunglasses, with gloves. ",Coming behind her is a man with a white cup.,And then some other men are going her opposite direction with one jogging and the other one walking.,And the man behind her is in black.
3526,"Two white toddlers are in the house playing, a boy is also trying to comb the girl.",They are in the TV room with the girl in a red single sofa. ,While the boy is in a green t-shirt the girl is wearing floral.,And there is a white plate next to a black remote controller by the armchair.,Besides the boy is also in a black trouser.
3527,White ladies and gentlemen are together on the mountain top sitting and some laying down.,"Actually there is only one male and the other three are females, him and the other lady sitting up are in black but he has sunglasses on.",And another lady is in a red bomber jacket with a bandana around.,"The last one is laying down searching for something else in her small black bag, having a white wrist watch.",Downwards are trees around the place they are in.
3528,There are three white men on horses appearing to be in a race.,And there is a wounded buffalo in the middle of the three jockeys trying to tame it.,On the outside of the racecourse a crowd of people is watching them.,Meanwhile from the inside view are small white gates numbering from 1 2 3 4 5 etc.,These wooden planks have also a red mark along.
3529,Two white ladies wearing caps with colorful hand bags are walking along the corridors.,They are coming up the opposite direction of a green female statue with a big book up and others in the hands.,The one on the left in a black trouser with long hair is carrying a white handbag.,And looking up the stores you see two posters with the first one 'SHOW PRINT' and the second one 'PARKING'. ,While the other lady is on the right besides a man in a white shirt with short hair.
3530,A white lady in black is leaning on the wall with her back.,The woman is in front of the Church audience singing in praise team.,While another woman with long hair is seated on a yellow chair also singing.,"Near this old woman sitting on a stool is a stage light beaming, and the window to her left has got a drawing of a some figure.",And this picture frame has got a mosaic painting.
3531,A woman in white is looked up with a sport's stick on the chin side.,"And the man she is passed the ball to is also in white, by his side yet another man with a stick.",The man at the street is got a red clown nose on.,"And the other friend is also wearing a clown nose, while the other two women are watching them.",The same friend is even wearing a green cap and a wrist watch on his hands.
3532,Two white girls have held each other tightly.,The older girl is carrying the younger while running.,Other two adults also minding their own business besides.,"A lady is romantically in the man's thighs, as love birds.",On a concrete bench street they are holding hands in love. 
3533,"A woman, ready to throw her javelin,  swings hand up and backwards. ",She is running in style between two tracks of an orange javelin field.,The woman playing javelin throw is in a blue short pant.,"And the player's javelin is purple, with two edged ends but a metalic front.",Her attire is of a white shirt with red shoes.
3534,"A white man and father of the little girl, on top, is laying backwards on a black life jacket.","Him behind her saves the little girl time to fear, and both of look at the camera with nonhydrophobic smiles.","Even without his shirt daddy's girl comfortably leans on her hero, but she covers herself in a swimming costume.","And these waters appearing deeper than ordinary, with a dreadful color, do nothing to distract them from fun.",Even as both express cordial affectionate love in their smiles to the camera.
3535,Two white little boys are sitting to eat along the concrete street.,Between them a plastic bag with food and a drink behind.,The one on the right is in a blue trouser with checked shirt.,"As well as the one on the left in black shoes, blue trouser, and checked skipper.",And they both have short hair.
3536,A white lady is in a black sweater with long sleeves.,The lady is a cashier by the till attending to an old woman waiting for her bill.,And beside the cashier another man in black is on the left stooping.,He is checking out goods on the floor with a leaning height.,While the beautiful cashier is with a photogenic smile looking at the camera.
3537,A team of white people storytelling in a room.,Those in front are having mugs while the others at the are on laptops.,"Those on laptops are focused, but no idea on what they are doing.",And on the top shelf a series of picture frames with faces of different races.,"Then appears an empty white chair within the room, while most people are playfully squeezed together."
3538,A white man is looking at the two lovers kissing in public.,"While on a phone call he is turned, like others nearby, to see the flying kisses.",The man is in a red shirt with a white bandana.,"Then he has a brown trouser on, standing nearby the kissing couple. ","And just closer to the buildings, a NEWS reporters looking vehicle is parked."
3539,A white woman is carrying a black handbag and blue plastic bag.,"Walking down the street alone, ahead are vehicles parked.","Besides the vehicles parked, there is a white building down the street.",Beautiful flowers are also hanging firmly on street walls.,"Though habitable, the place is rather quiet and less populated."
3540,A service car driving by the lakeshores is amidst the fearless flock of birds.,It has flashed lights and the flag of America flys over.,"This is a government vehicle of Police Services, from the top lights.",And the vehicle is parked in front of the flock of birds of the river.,"While looking beyond from the vehicle standpoint, there is a white building."
3541,An Asian Indian looking young girl in a yellow t-shirt holding a blue paper roll.,She is kneeling tearing a blue paper roll.,"The whole place is fenced with wire with trees and grass around, ","Someone else is also squatting just nearby the girl, with another man standing behind.",Everybody is dressed up differently and are unidentified.
3542,A white lady in a blue throwover is looking in the sides.,"She sits with her hands crossed on the table, and has a wrist watch on the left.",Inside the throwover she is wearing a black and white shirt.,"And a neckband beads is over the neck, as her Bible rests on the left side of the table.",A picture stuck in the walls is in the background of this Ms.
3543,An Asian looking lady is in a red trouser sitting on an immobile motorcycle.,"With her left leg on the floor, she steps her right leg near the pedal.",There are also green and red buildings on her left side of the road.,While another man is riding on a motorcycle and right behind her.,And then ahead of the riding man appears a red poster.
3544,Unidentified white individual is in black snow attire sitting in snow ice.,"It is a white lady hahaha, she squats behind her house tent beside some two drinking bottles. ",There are two bottles with one red and the other having a blue line on the lid.,"Besides a red glove on the hand, she has a headlamp on the forehead.",Beside the bottles in the snow there appears something like a bird.
3545,"Some naked kids, in the car, are stepping on blue car seats.","Hilarious, the boys are quite a memory stimuli to remind one of 'THE GODS MUST BE CRAZY' movie. ","Truthfully spoken, and as one boy is wearing neckband beads the other is stuck his tongue out. ","With his tongue out, the boy is in a red underpant. ",And both of the kids are barefooted. 
3546,A male child sitting on a play motorbike has put on green.,"The boy is focused, and there are colorful machines around the motorbike.",He is riding on a red ride with black handlebar.,THUNDERATION' is also another outstanding graphite behind him. ,"As part of bike racing, the young rider does not disregard his green helmet and there are decorative stars on the walls."
3547,Two white female cooks are by the kitchen in white chef hats.,"The ladies are apparently professional, and that is why the crowd behind. ","A lady in a blue throw over is with a man in a green shirt, as they eye on the chefs.",She is having her hand crossing each other: right to the left and vice versa.,The ceiling of their cooking shelter has a colorful linen.
3548,Music artists on the stage are singing while playing their instruments.,At the back of the stage are 'THE EARLY NOVEMBER' writingss in red.,The upper ceiling of the theater is illuminated with RGB lights.,"And just beyond the red writings, a red florally painting also.","By the sides of the stage other people standing, as if they are team members."
3549,A group of men is dressed in coumaflage.,"This is no other than a unit of soldiers, as they are known, standing with a man in different clothing.",And this other man is in a white shirt with a bald head.,"Besides the soldiers and this man, there is an unknown woman also by the end of soldiers in white hard hats.","Lastly, these soldiers are standing by the a house like building."
3550,Black men wearing different colors are by the workshop.,These men appear to be auto mechanics fixing and repairing cars and tires. ,"Definitely these look so, one is in yellow coat with a short pant within the knees.","They are standing by some car tires and a rope, probably they use it to toil vehicles, passes behind.",Two of them are also wearing caps of red and blue.
3551,A a person like statue in snow ice is standing still.,This person skating high on a snowboard at sunset is either male or female. ,"Surely, one may wonder if it is really someone, the darky skies are deceiving.","Hahaha the struggle is real, the uncertain appearance indeed looks bizarre.","Without a single doubt, especially when you look up and see the fiery skies very scary."
3552,A biker in red riding kit is riding a red motorbike.,This biker is in fact wearing an orange kit but riding on a red motorbike.,"As if the biker is by the turn of the road, there are trees around the road.","There are also labels on the motorbike, number 20 and letters HALLETT RACEWAYS.",This motorbike has got black tires just as most bikes do.
3553,A white man in a black shirt is heading to a nearby public bench to take a seat.,This man is skating in roller skates and seems to be learning with fear.,"He is wearing a black shirt with a grayish trouser, has also got short hair.",The skating ground is not leveled and that's why he is slowly roller skating.,"The bench, on the other side, is just before a good looking background of trimmed trees and flowers."
3554,"A white man is riding on his bicycle, he is shielded himself in a helmet.",As he rides through the snow ice he is wearing shiny sports sunglasses.,There is a massive and tall pan brick building on his right side.,"Before the building there are seven concrete pillars, firm and strong they seem.",The coat he is wearing has a red line on it.
3555,"A group of white men and women are in an eating place, seating luxuriously.","As though they are at the feasting, but this is their culture to eat from inns. ",At the edges of their eating tables blue and white lights are flaming the whole place.,"At first you would think it was snowing blue ice, but nay these are decorative lights hanging in trees. ","The Western culture is quite another master piece of technology, as you would not really see them do the ordinaries but unique styles.  "
3556,"A white old man is having his sunglasses on, with his hand up to an ear inch as though he is making a call.  ",The man is with his fellow old folk chatting by the veranda on a white bench.,The fence behind these old men is metalic. ,"Truly this is a metalic structure, it has a white and black paint.","Because these are old men, both of them are having gray hair but not bald headed."
3557,A white lady under the blue umbrella is smiling like a model.,"Apparently she looks tall in her long dress, and her fan sitting by the fence is getting something from a woman.",On the other side of the lady's left hand a woman in a red cap is looking at the man receiving something from the other woman.,Besides her a woman with a camera is taking pictures of the other woman giving the man something.,"The woman in a red cap is also in a green shirt, while another one is in a black shirt."
3558,A Chinese looking man is cutting something white with a big knife.,"He is the cook, in kitchen cutting dough into cubes.",On his left side of the kitchen unclean and scattered plates are on the floor.,"Just like most men are a mess in the kitchen, his working surface is the only clean area.","At least his working surface area is clear, among the plates on the floor there is a white basin on top."
3559,A dark skinned man is in the field plowing with yoked cattle.,"This man's complexion is Indie looking, his cattle are of different colors: brown and brownish.","These cattle have got a blue color on their horns, obviously they are just painted.","Hahaha, at first one would ask whether the blue color on their horns is genetic mutation or not.","Just imagine that, and the farmer is wearing a red wrapper like linen around his thighs with a white head band."
