IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
9713,A great number of people  are in one place and they are watching two tall and fat men.,Why are these people watching these two men?,These different people are watching the two men because they are boxing,What are the two men boxing wearing?,One of them is wearing a blue short and shirt and the other one is wearing a black shirt and a blue trousers.
9714,A dog is alone in one place where there are trees and yellow flowers.,How is this dog which is in a young forest looking?,This dog is fat and brown in colour and has a belt on the neck,What does this dog seem to be doing in this place?,This dog seems to be looking at something because it has it's eyes wide opened and focused on one point
9715,Five people are in one place at the same time and doing different things,What place does this area seem to be?,This place looks like a bus station because there is a road and big buses with a lot of people,What are these five people doing at the bus station?,The two boys wearing blue shirts and holding hands seem to be conversing.The old man wearing a grey jacket and shirt has a camera the other two are walking.
9716,Different people of different ages are in a  play ground,What are these people in the play ground doing  ?,The men who are in the middle of the ground are playing the game called rugby in English and the ones on the sides are watching the ones playing,What are the players playing rugby wearing since they are in two groups?,One team for men is wearing white muscle trousers shirts with blue writings and yellow trousers and the other team is wearing blue muscle shirts and grey trousers
9717,A  boy  wearing a white shirt and trousers with a yellow robe is exercising,What is this boy doing to exercise the body?,This boy is learning the sport called in English karate. It seems there is someone teaching him,How is the boy standing as he is learning and training.,The boy is standing on one foot and the foot is in the air. He is paying attention to what he is doing because his eyes are focused at one point and he is using all his strength
9718,Two young boys are in a swimming pool during the day,What are these two young boys doing in the pool?,These two boys are swimming in the pool during the day time,What are these children wearing when swimming?,One of them is wearing black swimming glasses and the other one is wearing a yellow anchor
9719,A fat woman and a dog are in  play park,What is this woman and the dog doing in the play park?,This woman and her black dog are playing in the park using a tough grey rope,What is this woman with short hair wearing?,"This woman with short hair is wearing a blue trousers, an orange sweater and grey shoes"
9720,Two men who work for roads and transport agency are standing on the road,On the road there are a lot of vehicles going in different directions,What are these two men who work on the roads wearing,These men standing on the road are wearing uniforms and helmets,These two men seem to be inspecting a vehicle which is not moving
9721,A man wearing a white shirt inside and a brown shirt with black stripes outside is standing,In the middle of who does this man seem to be standing?,This man seems to be standing in the middle of two people because two hands are visible from two different sides,What are these people surrounding this man having and what are they doing?,These two people have guns each and they are pointing the guns at this man with short black hair
9722,"Different people where there are men, women and children are in one place and they are walking",How is this place where they are looking?,This place looks like it's surrounded by a river and it's very cold because all the people walking are wearing something warm,What is the woman wearing a maroon scarf and carrying a white handbag walking on?,This woman wearing a maroon and a black cardigan and carrying a white handbag and the people behind her are walking on a bridge
9723,Three different people are walking together on the road during day time,How are these different people looking?,The two people in front walking together seem to be happy because they are laughing and they are chatting,What are these people walking in  the road with house on one side wearing?,One of the two who are in front is wearing a black clothes and the other one is wearing a dress with blayand white colors
9724,"A young boy wearing a jacket, shoes and a black trousers is standing in a room",What is this boy with brown hair holding in his hands?,This boy is holding a medium gift which is looking white in colour,Who else is in the room where the boy is?,Behind this boy there is a bride and groom because they are wearing a wedding dress and blackl suit respectively
9725,Two grown women are in a room with other people,What is the woman wearing an orange warm jacket with a scarf of different colors doing?,"The tall woman with short hair is eating a red sweet, it seem it's very sweet",What is the woman wearing a black cardigan and a reddish necklace doing?,This woman wearing a black cardigan seems to be eating something because she looks as though she has something inside her mouth
9726,A young boy wearing a shirt with yellow and grey stripes is in a room,Who is this child with?,It seems this child is with the mother because behind him there is a grown woman wearing a green shirt,What is this woman and her son doing in the kitchen?,This woman and her son seem to be cooking because they are whisking in a bowl containing some ingredients for making food
9727,A young boy is standing in one place which is looking very nice during the day time,What is this young boy wearing on his body?,This boy with short brown hair is wearing a blue shirt with a red drawing in the center,What is this boy doing at the place where he is standing?,This boy seems to be playing in this area because in his hands he has a red ball.
9728,A woman wearing a grey cardigan is in place where they  people rest from .,What is this woman with short hair doing in this place?,This woman is sitting on a round table which has chairs around it,What is this woman with a reddish bag doing on this table?,This woman seems to be reading because she has a newspaper on the table and she is looking at it closely
9729,A man wearing and grey shirt and short is alone in one place,How is this place where he is looking?,This place is looking fertile and has a lot of green trees and grass besides it's looking rocky because there are a lot of rocks around,What is this white skinned man doing in this place?,This man is riding a black and yellow  bicycle in the rocky path
9730,Five middle aged men are in one area where there is a very tall wall,What are these men wearing on the body as they are in this place?,Three among these are wearing plastic working suits and the other two are wearing cotton trousers and shirts,What are these men doing at the place where they are?,These men are working on paintings using alot of colours and they are also conversing
9731,A man wearing a blue jacket and a blue shirt with white spots is sitting in a certain area and leaning to a wall,What is this middle aged man holding in his hands?,He is holding a banjo,What does this man seem to be doing?,This man seems to be playing music because he is having a brown banjo in his hands
9732,Different people are at the play ground during the day time,How is this play ground looking?,This ground seems to be very big and it has some small grass and where to from there is a blue fence,Which sport is being played by the men who are competing?,These men are competing to ride horses . This man on the black horse is happy it seems he has won
9733,Five people where there is one man and four women are in one beautiful place,How is this place where they are looking?,This place is looking nice and there are big rocks and a small river,What are these five people doing at this place during the day time,The young woman wearing a red short and a shirt with white and red stripes is sitting on concrete together with a man wearing a shirt with small boxes . The other remaining three young women are standing while conversing
9734,Different people where there are men and women with different ages are in one place where there are a lot of tall buildings,What kind of clothes are  these people wearing where they are?,Some are wearing red gowns  and others are wearing red gowns and orange shirts while others wearing red gowns and red hats,What are these people doing during the day time?,This people seem to be celebrating because there is happiness and others are even playing flutes
9735,A man wearing a blue short and shirt is at the play ground,How is the play ground looking?,This play ground is looking big and clean and on the ground it is painted with yellow and  maroon paint. There is also some green grass,What is this tall man doing in this playground?,"This man is exercising his body using boxes made up of light wood, that's where he is jumping  "
9736,A fat woman wearing a blue skirt and an orange swine is sitting,Where is this woman sitting during the day?,This woman is sitting in an office on the road,What is this woman doing in this office?,This woman is working as road tax collector because she  is handing someone a credit
9737,A man wearing a black trousers without a shirt is sitting alone,Where is this white skinned man sitting?,This man is sitting on big rocks which are near to the river and close to green flowers,What is this man doing at the river where he is sitting alone?,This man is looking at something using some wooden seeing aid which is in his hands
9738,Two young children where there is one boy and one girl are riding on animals,Which animal are these children riding on?,These children are riding on a big brown and fat camel,Where are these kids and how is the place looking?,These children are on a river and this river looks big and blue in colour.
9739,Different people where there are men and women of different ages are standing,At which place do these people seem to be?,These people seem to be at a big airport.,The woman wearing a blue uniform is smiling and sitting near a man wearing the same kind of uniform.,The woman and the man sitting in front and wearing the same  uniforms seem to work at the airport.
9740,A man wearing a black shirt  is with a woman wearing a blue shirt.,What is this man and this woman doing in the evening?,This man having a cigarrette and the woman with reddish hair are kissing on the lips.,how is this place where the couple is looking?,This place where they are has alot of other different people and its a place where they buy and sell alcohol.
9741,A fat woman wearing a grey shirt and has long hair is in the bathroom,How is this man room looking?,It looks small and clean with a white wall and a mirror.,What is this woman doing in the bathroom?,This woman is cleaning this place using water and a sponge .
9742,A woman wearing a blue dress is standing while a man wearing a grey shirt and a blue trousers is sitting.,What is this man sitting on sack doing?,This man sitting on a sack is selling different fruits and vegetables.,What is this woman who is standing doing on this road?,This woman is buying different fruits and vegetables which the man is selling.
9743,A family where there are two parents and two children are together in a room.,What are these people in this family doing during the day time?,These people in this family are praying together because they all have their eyes closed and they are facing down.,What is in the room and on the table?,In this room there are a lot of books and also on the table there books which they were using.
9744,A young girl wearing a blue shirt is sitting.,Where is this girl sitting?,This child is in a beautiful park where there are a lot of green trees .,What is this child seem to be doing?,This child seem to be playing with nature and she is looking happy.
9745,Two women who are carrying blue umbrellas are walking.,What are these women wearing as they are walking?,One of these women is wearing a pink a pink skirt and a black shirt and the other one is wearing a blue trousers and a shirt with reddish and white stripes.,Where are these women going and where are they?,These women are on the where there are a lot of vehicles and these women look like they are crossing the road.
9746,A young boy wearing a red cardigan and a blue trousers with green and grey stripes is standing.,Where is  this young boy wearing black rain boots standing?,This boy is standing on the water which has been spilled.,What is this boy holding in his hands and how is he looking?,This boy is holding a squeezer and he is looking as if he looking at someone.
9747,Two girls where there is one older than the other are in a forest.,How is this forest where these girls are looking?,"This forest is big ,it has a lot of grass and it also has big rocks",What are these two girls doing in this forest during the day time?,The girl wearing a yellow sweater and a red skirt is running about while the other girl carrying something on her back and wearing a sweater with two colors is sitting on a rock
9748,"Two dogs a brown white one, a black and white one are in a room",How is this room where the dogs are looking?,This room small and it has a carpet with different colours and a small table.,What are these dogs doing in this room?,These two dogs are fighting for an orange and green doll
9749,A young girl is sitting in a room during day time.,What is this young girl wearing?,This girl is wearing a thick dress and a hair  ribbon,What is this girl doing in the room?,This girl is cleaning her green shoes to remove dirt
9750,Many people where there are young individuals are in one place and they are carrying bags,Which place is this according to what it has?,This place seems like a forest where there are trees and many stones?,What has this group of people come to  do in this area?,This group of people with different ages seem to have come visit and the ones  older seem to be the ones guiding the group
9751,Four men are in a small office,What is in this office?,In this room there is a an orange cabin where there are flowers on top and there is also a table and five chairs,What are these men doing in this office?,These men are working using computers because all of them have computers and they are also having something to drink on the tables
9752,A person with a brown dog is in a room during day time,What is this person doing in this room?,This man is eating some food on a plate and it seems he is also reading something because where he is sitting there is a book and a computer,What is this dog with a dotted white and red belt doing?,This dog is leaning on this person sitting on a sofa and has put it's head on a black cloth
9753,A man wearing a pink shirt is on a big road during the day time,What is this man doing on this road?,This man is driving a small green and grey vehicle,How is this road looking?,This road passes in a place where there are a lot of buildings and trees and there are many other vehicles on this road
9754,Different people are on a big road with buildings on the sides,What are these different people doing on this road?,These people where there are men and women of different ages are walking on this road.,What time is it that this woman wearing a maroon jacket is walking?,It seems that is evening time and it's raining because this woman carrying a bag I having a red umbrella
9755,A young boy with short hair is in a park alone,How is this park looking?,This area is looking fertile and has alot of green grass,What is this child doing and how is he looking on his face?,This child is playing with nature and has a little creature on his nose
9756,Two fat men are standing together and hugging each other,Where are these men standing and how is the environment looking?,These men are standing in a big van which has got red writings and this vehicle seems to have a ladder,What are these two men wearing?,These men are wearing shirts of different colours and green and red gallands on the necks together with skirts made of sacks
9757,An old man wearing a blue shirt and a hat is standing,Where is this man with black glasses standing?,This man is standing in a park with a lot of flowers,What is this old man doing in this beautiful place?,It seems this old is watching and touching the flowers
9758,Two children a boys and a girl both wearing white shirts are in a room,How is the room where the children are looking?,This place where these children are is looking dark it seems it's during the night,What are these children doing in this room at this time of the day?,These children seem to be playing a game using what they are holding in the hands
9759,Four  people where there one woman and three men are in one place,How is this place looking in the eyes?,This seems to have alot of trees and bicycles,What are these four people doing at this place,The man near to the trees is walking while the other three are discussing using a book because the man with glasses seems to be reading a book
9760,Two middle aged me are standing at a distance from a vehicle,What are these two men wearing?,"The first man is wearing a yellow overall , a grey shirt  and blue gloves while the other man is wearing a white shirt and a red jersey ",What are these two men doing near a wall along the road?,These men are stretching something that looks like a fishing net
9761,Different people young and old are in one place,How is the place where they are looking?,This place seems to be a place where they watch different games from,What are the four children sitting at a distance from the old men doing?,These children seem to be playing together without a problem
9762,A male parent and his child are standing,Where is this man wearing a reddish shirt and trousers standing with his child?,This man and his son are standing in a train with three colors,How is the place where this train is looking?,This place seems to be near to houses and the rail line passes near electricity poles
9763,A white bed with a long  brown beak is standing,Where is this bird standing?,This bird is standing in water which seems to be in a river close to grass,What is this bird standing in water doing?,It seems like this bird is looking for food in the water and it is also drinking water.
9764,A man wearing a black shirt and grey short is standing,What is this man with in this place ?,This man is with a dog which has black and brown fur  tired to a rope.,What is this man doing in this forest while standing on the rocks?,This man seem to be looking at trees which are at a distance from him
9765,"Different people, young and old are standing together ",Where are these people standing?,These people are standing outside a white  vehicle with blue writings,What are these different people doing where they are standing near to the vehicle?,It seems like these people are buying ice cream
9766,Alot of people where there are men and women are in one place in the night,Where are these people during this time?,These people are in a hall where musicians are playing music using different musical instruments,What are these people doing in this place in the night?,These people of different ages are listening to music and watching the musicians who are playing music
9767,Two young boys are in one room and they are sitting during the day time,Where are these boys wearing clothes of different colors sitting ?,These boys with short hair are sitting on a bed which is well spread,What are these young boys doing in this room?,These boys seem to be watching something that is making them laugh because they are both looking in the same direction while laughing
9768,Different people are in one big place,How is this place where these people are looking?,This place is looking very nice and it has a lot of beautiful trees and grass of the same color,What are the people at this place doing?,The women wearing black sunglasses are walking while others behind them are sitting and some are towards the trees
9769,A brown dog is standing at one place during the day time,How is the place where this dog is Standing looking?,This place seems to be outside the house where laundry is done because there is some foam,What is this dog doing at this place alone?,This dog is playing in the on the foam and scattering it using it's legs
9770,Five girls some with long hair and others with short hair are standing and some are walking in the same area,How does the place where these girls are looking?,"This place seems to be very big and the place has alot of buildings,a road and a parking lot ",According to how the girls are looking this area resembles which place?,This resembles a school because all the girls have school bags and they are dressed like students
9771,A man wearing a working suit is standing,Where is this man wearing a helmet standing?,This man is standing in a machine which is used to lift builders to different heights which is made of metal.,What is this man doing at this height where he is standing?,This man seems to be at work and he is even working
9772,"Four men are in one place ,two are wearing black hats and red shirts while the other two are wearing white shirts ",How is this place where these men are looking?,This place seems to be an area where they do horse racing from..,What is these men doing at this ground?,Three men are riding horses and one of them is about to fall off while the other man is standing outside the riding arena watching the horse riders
9773,Two men wearing orange  hoods and one woman wearing a black jacket are standing,Where are these three people standing during the day time?,These two men are standing along the road near some shops while the woman is standing near the road,What are these three people doing in this road?,It seems these people are waiting for the public bus which takes people to their homes
9774,Four men and one boy are standing together,Where are these men standing?,The two men wearing black and  blue shirts respectively are standing near the river the rest are standing at a distance from the river,What are these men doing at this place at this time?,These four men seem to have come to this place to fish while the other remaining man is guarding this place
9775,Young boy wearing a blue shirt and a short with different colors is jumping,Where is this child jumping?,This young boy is jumping on the water which is in a river,How is this river looking?,This river looks big and has a green color
9776,One middle aged man is standing,How is the place where the man is standing looking?,This place looks like one small room painted with a blue color and there is a hand basin,What does this man seem to be doing where he is standing?,This man seems to be standing in this room so that he can smoke some cigarette
9777,"Alot of people where there are men , women and a child are sitting ",Where are these different people sitting?,This people are sitting at a large dining table,What are these different people doing on this table?,It seems these people have met at this place to eat together because there is a lot of food on the dining table
9778,Alot of people where there are men and women are in one place.,This  area where these people are resembles which place?,This place resembles an area where people pass and go where they want to go.,What are these people doing in this area which is crowded?,All this people are walking and they seem busy because this is night time
9779,Many different people are in one place during day time,How is this place where these people are looking?,This place is looking hilly and has got buildings on the sides,What are these people doing at this place during this time of the day?,The young man who is on top of the hill is   bicycle racing then the rest of the people are watching this young man
9780,A middle aged woman wearing a black cardigan with stripes of four different colors and long hair is sitting,Where is this woman sitting at this time.,This woman is sitting in a classroom,What is this woman doing in this room?,This woman is drawing it seems she preparing what to use when teaching using different colors
9781,A short old black man wearing a shirt and a wrapped is walking on bare foot,What is this man carrying in his hands?,This man is  carrying something that looks like a calabash,How is the road where this man is looking?,This road is of medium size and one the side of the road there is a building and some vegetation
9782,A small child wearing a blue trousers and a red jersey is jumping,What is this child using to jump?,This child is jumping on the bed using white beddings,Where is this child during the day time?,This child is in a bedroom which is of medium size
9783,Three beautiful girls are standing at one place,How is this place where these girls are standing looking ?,This place looks like a road where there are alot of people such that even walking is hard,What do these three girls who are standing seem to be doing?,Two of these girls are plaiting the bag of the girl in front of them while the other one is looking backwards as if she is looking at something.
9784,A young girl wearing a yellow shirt and a blue short is playing,Where is this child playing from during the day time?,This child is playing from a play ground where there is green grass,What is this child using to play?,This child is using something like a ball which has water inside
9785,Three kids where there is one boy and two girls are playing together.,Where are these children dancing from?,This children are at a place where people go to visit and relax which has very tall walls and trees,Who do these kids seem to be with at this place?,It seems that these kids are with the grandfather who is wearing a white shirt and a black trousers who is sitting on a bench
9786,A lot of people are in one place which is looking white due to snow,What else is in this place apart from these people?,At this place there is a big hut where people who are playing can rest,What are these people doing at this big place?,These people are skating on snow
9787,A young Man wearing a black short is standing on a lot of water,What is this man who is in  water having?,This man is with a white fat dog with a black mouth,What type of water is this man and the dog in?,This man and his dog are in a  river which is shallow and has short grass on the edges
9788,One woman and two men are outside a building,How is this building where these people are looking?,"This building is looking huge, tall and is made up of large glasses and it is near the road",What are these three people doing outside this building?,A woman in black is standing outside this building and a man wearing a black hood is walking towards the entrance to this building while the man wearing a grey trousers is sitting
9789,A young man and a boy are in one place during the day time,How is this room looking?,This room looks small and similar to a classroom,What are these two boys doing in this room?,It seems the young man is studying while the is throwing something at him as a result he is covering his face
9790,A man wearing clothes with different colors is walking on one side of the road,What does this man seem to be doing on the road side?,It seems like he is selling different things made by hands,How are the things he is selling looking and what colors do they have?,What he is selling has different colors other are white and other are green whilst other are blue
9791,Different people men and women are in a play ground,How is this play ground looking and how many people are there?,This play ground is of medium size and where the playing is done has been demarcated by a small fence and there are alot of people at this place,What is the man with a black hat and a blue trousers doing?,This man is riding a grey looking horse
9792,A young girl wearing a long sleeved black shirt and a brown trousers is in the park,How is this park where the child is looking?,This park is looking fertile and has alot of green trees,What is this girl doing in this place?,This child is riding on a fat dark brown horse
9793,A white skinned man with black hair is on the ground,What is this man wearing on his body?,This man is wearing a black short and a white shirt with black prints and a grey hank,What is this man doing where he is?,This man seems to be exercising his body where he is during the day time
9794,A man wearing a grey uniform with a green swine an orange helmet is standing,How is the place where the man is standing looking?,This place looks like a building which is unfinished,What is this man doing at a building which is unfinished ?.,It seems this man is doing the job of finishing this building.
9795,Different people are in one place and they are doing different things,This area resembles which place?,This place looks like a train station because there is a railway,What do these different people seem to be doing in this place?,Others are sitting whole others are standing waiting for the train
9796,Alot of people are standing on a big vehicle,What kind of a vehicle is this?,This is a vehicle used in constructing tall buildings,What are these people standing on this vehicle wearing as they are working?,These people are wearing different work suits.
9797,A man wearing a short sleeved black shirt is sitting on a chair,Where is this man sitting?,This man is sitting outside the house it seems it's the backyard garden,What is this man wearing black sun glasses doing,It seems like this man is is resting and he is drinking something in the cup
9798,A man wearing black shirt is walking on the road,Where this man is who else is there and what seems to be taking place?,At this place they seem to be a lot of different people and it also looks like it's along the road,What is the man who is laughing doing?,This man is carrying in his hands something that looks like different books
9799,An old man is standing In a room alone,How is this room looking?,This room is looking big and resembles a place of work,What is this old man who is this room doing?,This man seems to be repairing something that looks like an audio player which works with electricity
9800,Different people are in indoor play ground,What are the two women in the middle of the ground doing?,These women are wrestling,What are the people in the crowd doing?,These people are watching the women women small shirts and pants who are wrestling
9801,"Three people where there is one man ,one woman and one man are on corridor.",What is surrounding this corridor for the shops?,On one side of the corridor there are shops and on the other side of the corridor there are vehicles,What are these people doing on this corridor?,The woman who is on the corridor is sewing some rags together while the man and the child are standing at different spots
9802,Many different people are watching a woman wearing a black short and a maroon shirt,Where are these people watching this woman?,These people are in a place where important dance movements are done,What is the woman being watched doing?,This woman is exercising her body through ballet
9803,Many different people are sitting and watching a woman wearing a small black  trousers  and a white body top,Where are these people watching this woman?,These people are in an indoor play ground,Which sport is the woman doing such that people are watching her?,This woman is skating using her skating shoes
9804,An old man wearing a blue and white shirt and short is on the road,Where is this road that the man is on?,It seems this road is along the river,What is this man doing this road which is along the river?,This man is riding a grey bicycle with big tyres
9805,A man wearing a grey suit is in the sky,Want is this man  doing as he is in the sky ?,This man is taking part in a sport which involves the use of bicycles,"What happens when people are participating in the
sport which the man is doing",A person rides a bicycle and goes in the sky when playing this sport being played by the man
9806,A man and a woman wearing nice clothes are at one place in the evening,What are these two people wearing?,The man is wearing a head covering and a material to cover the chest and the woman is wearing a wrapper and a blue breast holder,What is this man and woman doing?,It seems these two are doing traditional plays
9807,Seven old men wearing different hats are at one place,How is this place looking and where is it located,"This area looks fertile and has a lot grass  ,it seems this area is on a high level ground",What are these old men doing at this place?,It seems these seven old men are visiting and exploring the place
9808,A dog with grey fur is in a lot of water,To what does this water resemble?,This water resembles a big  and deep river,What is the dog doing in this kind of water?,It seems there was something that this dog went to get because it has something between it's jaws
9809,Two fat men are in one room during the evening,What are these two men wearing on the body?,The man sitting is wearing a blue trousers and a boxed shirt and the man who is standing is wearing a grey jersey and black hat,What are these two men doing in this room?,It seems these men are celebrating this man who is sitting
9810,Three reddish skinned men are sitting on top of logs,What resembles where these men are sitting?,Where they are sitting resembles many logs which support a wooden shelter,What are these people doing where they are while looking down?,It seems these people are fetching water in a river passing outside the shelter it seems this is the water they use
9811,A man and a woman who seem to be talking are standing on the road,How is this road looking?,This road looks big and busy,What else is in this big road?,On the sides of this road there are tall buildings and many shops
9812,Two men wearing big jampas and hats are sitting close to each other somewhere,Where are these men sitting and how is the place looking?,This two men are sitting on the railway where a train passes  and the place where they are sitting seems like the railway on this part does no work,What are these two men sitting on the railway doing?,It seems as though these men are discussing and waiting for something because the one wearing rain boots is looking at something closely
9813,People wearing warm clothes and hats are at one place,Where are these three people and how is the area looking?,These people are at place where there is snow and the place looks very big in size,What are these three men doing this place?,It seems like these men are fixing a machine they use in a place where there is snow
9814,A man wearing a brown jacket and a black trousers is sitting in a room,How is this room looking?,This room looks like a room where music is played,What is this man doing in this room?,This man is singing using a microphone and he is playing a musical instrument which uses electricity
9815,A young girl wearing white shirt and has long hair is swinging,What is the girl swinging from?,This girl is swinging from something which looks like a roof made of wood,How is the place where this girl is looking?,This area looks like it's near to a forest which has tall green trees
9816,A man wearing a blue trousers and a brown shirt is in the sky,Why is this man jumping at this time of the night?,It seems he is playing a game  of jumping and falling on a mattress,What are the people standing at a distance from this man doing?,It seems these people are watching this man who is jumping and falling on a mattress during evening time
9817,A slim man wearing a black shirt and trousers is standing,where is this man standing during the day time?,This man is standing in a small room which looks like a studio,What is this man doing in this room?,It seems this man is composing music using a black instrument and some other green ones
9818,A man wearing a grey trousers and a blue shirt is standing while a woman wearing a blue shirt and trousers is sitting,What is this man doing where he is standing?,It seems this man is asking the price of the fruits being sold at the market,What is this woman wearing a sleeveless shirt doing?,This woman is selling alot of fruits at the market which is near the road
9819,Three middle aged men are standing in on room,How is the room where these men are standing looking?,This room looks dark it seems it's in the night time and there are also red light in this room,What are these three men doing in this room in the night?,This men are playing music using banjos
9820,Different people are at one place during the day time,The area where these people are looks like which place?,This area is an area close to a big road and many shops lined up,What are these people doing at this area?,These people are all going in different directions and they all look busy.
9821,A woman wearing a short sleeved shirt is sitting alone on a chair in a room.,How is the room where this woman is looking?,This room looks small and is painted white in colour and there are flowers also,What is this woman doing in this room during the day time?,This women is sewing a gown using a sewing machine during the day time
9822,A man wearing a black shirt and trousers with a red cardigan is laughing,What has made this man who is standing to be very happy?,It seems this man has won money indicated on the paper that he is having,Who is behind this man who is laughing?,Behind this man there is a woman with long hair and an old man wearing a white cardigan and a grey trousers
9823,Alot of people where there are men and women are at a stadium,How is this stadium where these people are looking inside?,This stadium looks huge and has alot of blue chairs to sit on,What are these different people doing in this stadium?,Some seem to have come to watch a game while others are playing the game
9824,Three women are sitting and they are with orange basins,What are these three women doing during the day time?,These women seem like they are picking something on a Stony ground,What area does this place where women are resemble?,These women seem to be outside a big house which is good looking
9825,A young white skinned boy is at one place alone,What place is this where the boy is?,This boy seems to be at a play park,What is this boy doing at this park?,This boy seem to be playing and he is also running it's like someone is after him
9826,A crowd of people is standing behind a yellow looking fence,What kind of people in terms of ages are in this crowd?,"In this crowd there are people if different young, middle aged and old",People in this crowd are wearing clothes of different colours,People in this crowd are looking sad and are standing in front of a building
9827,A dog with black and white fur is playing with rods,What kind of metal rods is this dog playing with playing with?,This dog is playing on metal rods painted red and white,Behind these metal rods there two tents and two vehicles,Behind the tents there are many vehicles and a very big tree
9828,Two young boys are playing in a young forest,What are these two boys wearing?,One of the boys is wearing a short sleeved shirt and a short and the other one is wearing a short sleeved shirt and a hat,One of the boys is astonished with is mouth wide opened,The forest is having trees with green leaves and green looking grass
9829,A boy is jumping into a pool having blue looking water,What is this fat white skinned man wearing?,This man is not wearing a shirt he is only wearing a short,On the sides of this pull there are benches wide in breadth which are used for relaxing,Behind this pool there is a green looking building
9830,people are listening to news from a man wearing a black suit,What is this man using to talk and where is he getting the words from?,This man is using a microphone belonging to British broadcasting cooperation and he is reading the words written on the paper which is in his hands,Among these people there two wearing women's clothing and one wearing men's clothing. In addition there is a man passing behind,"Behind these three men there is a flag, trees  and grass which are green in color and there is also a fence "
9831,A woman is holding a white rope extending from a poster,What is the written on the poster being held by a white skinned woman?,This poster is white in color and has black and green writings,This woman is wearing a white top,This white skinned woman looks like she is happy
9832,A dog with an open mouth is walking on a small path,What colors do this medium dog have?,The fur on the ears are greyish and the rest of the body is cream white,Besides this road there is a forest having trees,Most of the leaves of the trees besides this forest have fallen
9833,A girl is exercising,Where is this girl exercising fro,This girl is exercising her body on the river shore,As the girl is exercising she has lifted her hand and Leg,This girl is wearing a white shirt and a jean trousers
9834,Two kids are standing on the flag of the United States of America,What colors are in the flag of the United States of America?,"The flag of the United States of America has colours blue, white and red",One kid is wearing a trousers and  jean jacket and the other one is wearing a shirt and trousers made of smooth and soft material,The two girls are happy and smiling whilst one is carrying the other one on the back
9835,One man and three women are playing,Where is this man and these three women playing from?,They are playing from the river shore where there is a lot of sand,These people are jumping as they are playing and they are also laughing,These people are wearing clothes of different colours and kind
9836,Three men are sitting besides a tall brown fence,What kind of clothes are these three men wearing?,All these three men are wearing black jackets and shoes,Besides these men there is a black door and a blue gate,In front of the gate which is painted blue and reddish there is a brown building
