pair_id	sentence_id	bem_transcription	en_translation
26	1	endita eye chipalile kwati nakwata nomufuko wakulongamo isabi ekete nechakulobelako ili Sabi ifyo abikile panshi	Yes and it looks like he has a bucket to put in fish he fished and a fishing stick he had put on the ground.
10	1	Abana babili umwaume na umwanakashi naba fukama elyo naba pusha imitwe panshi yatushimbi	Two young boys and a girl have knelt down and they have penetrated their heads through and under the metal bars
27	2	Pali aba abana batatu nabeminina elyo umo alebutuka.	Among these kids three are standing and one is running.
4	1	elo epo ale angala uyu unwana umwanakashi abafyashi bakwe bali mupepi kaili mwaice sana	Her parents are near where she is playing from.
39	2	Elyo kumuli aba banakashi babili bafwele ifyakufwala fyakumulu  Fili fibili icakunse necamukati,bonse babili bafwele Ishati lya mukati lilyapalana ilikwete ilangi lya buta lelo kumashati yakunse umo mwanakashi afwele ishati lya fita ilikwete utulembo twa buta elyo umbi afwele ishati lyelangi lya mutuntula ilikwete  ifilembo panuma ifyafita nefyabuta	they are both wearing same white shirts inside but different ones outside one has a black one while the other's yellow and white
22	2	ku numa yabo kuli icipe	there's a photo behind them
15	1	kali na itumbo lya menshi ilyo kabikile umwakutapa	he is fetching water with a horse pipe.
38	1	Utwana utwambwa tubili tulebutuka panse.	two puppies are running around outside
1	1	umulumendo muchibansa aleangala	a young man is in a field, playing
27	1	Eh stylo bamubika iyamishishi iyi yine. Naimu wamina sana fye.	the hair style really looks nice on her
18	1	Uyu umusambashi alifye eka mumuputule	he's just alone in the room
26	2	elo nemishishi ili iya Palana bushe kuti Baba ba mpundu aba babili	they even have the same type of hair, can these two be twins?
24	1	Inkomani akwete kububoko naikwata icakunwa icakatapa katapa. 	He is holding something to drink.
27	2	Teti fishibikwe bwino, elo kuli abaice babili baleshimika pamulu, kutiyaba baice bakwe.	it's hard to tell and they are two kids chatting on top they could be siblings
23	2	Aba abana bekele pa muulu wa cibumbili icitali ica makumbi-makumbi ica kwatamo no tupunda utuno tunono utwa madeco	They are sited on a blue cubed thing which has small holes
27	2	Abekele pama bench nabafwala ifyakuteyelamo nabena. Bushe baleteya inshita imbi?	the ones sited on benches are also wearing sports uniforms
34	2	ale oba pamuman ninshi na pa fiita	he steers his boat at sea during the night
8	1	ili iya fita konsefye	it is fully black
7	2	nabafwala nefyakuteyelamo ifyabuta ukufumishako umulumendo uli mukasote akabuta	And they are all wearing jerseys eccept from one in a white cape.
25	2	abakashana abanono bomse babili bala imya ko nama boko ilyo baletoloka elyo na imishishi cile ululuka ku mwela.	Two girls are throwing their hands in the air as they  are jumping and  their hair is being blown up
6	1	utwaice tubili utwabuta inkanda nemishishi shafita utulemoneka tukashana tuleyangala 	Two kids who look like girls are playing.
28	1	elyo kunuma yakwe kuli shitata naumbi untu afwele itoloshi lya makumbi makumbi nakasote.	While another man in a blue trouser is watching.
19	2	mumusebo namwiminina imyotoka ishingi ishamalangi yalekana lekana.	these vehicles are of different colors
35	1	Balemoneka ngabalesefyapo fimo. Umo nafwala nakasote nechakumulu ichamakumbi makumbi	They appear to be celebrating something. One is wearing a cap a blue shirt
18	2	Pambi napo balemoneka kwati bali mucikwepe icamucikulwa	and at the same time they look like they are inside the fryer
16	1	Awe kwena iyi incende intu yawama uku tusishako maka maka abantu ababa mucitemwiko.	This is a nice place to rest from.
21	1	elyo bonse bashitata abalebombela kukulonga no kwikisha isabi line nabafwala amajombo ku molu 	everyone that is involved in this work of unloading and loading are all wearing boots
21	1	pa balumendo abafwele amakaputula yalefika mumakufi babili bafwele amalaya ya makumbi makumbi elyo umbi ilyabuta no wakulekelesha afwele ilya katapa 	two of the men wearing pretty long shorts, is one who is dressed in a blue shirt while the other in a green shirt  
17	1	eehe elo kumbali kuli imilundu ishitali sana nganshi	yes and along there are very tall hills. 
20	2	Cipalile nga icishilayamba ukwenda, monafye ifyo  namutekenya ekele.	it looks like it hasn't started moving, just look at how the driver is seated.
15	1	naasamuna na akanwa kakwe nalimo napunda	he has opened his mouth too, maybe he is screaming.
30	2	umukashana nomulumendo abekele mumbali bena baletambakofye	While the other two, lady and gent, watch him.
18	1	kulya lubali kulemoneka ifikulwa ifitali	on the far end there are tall buildings
30	1	eya  ici cicingilako kabalwe emukuti echenekwa elyo na umuntu uuninine ukwikala bwino	Yea definitely, because this is to protect the animal from bruises as well as the rider's comfort.
37	2	Aletinika chimachine icho ichilefumya ifiyushi	He is working with a machine that is very smokey
10	1	abanakashi abali pantashi nabafwala amalaya aya fta fita bakwata na phone	The woman who is ahead is dressed in black and she even has a phone 
2	1	umbi umwana nafukama, nabika na ukuboko pama tanta yakwe	the other child is kneeling and has her hand on her thighs
30	1	Umusungu umwaume naikala pacipuna	A white man is sitting on a chair.
35	1	Kapokola umo ali pa ncinga yakwe alepita pantashi iyacikuulwa.	One police officer is on his bicycle riding past the front of the building
19	1	Icicimana cikalamba eicho amenshi yalemoneka ukwikatana na amakumbi mulwelele	The lake is so big that its waters seems too be touching the sky
11	1	Eya, pantu umwaume uuli pa ntanshi afwele ishati yakashikila nakaputula kafiita elyo umwaume uuli kunuma afwele ishati lyamakumbimakumbi elyo na kaputula kafiita pa fyakufwala fyabo bonse pali ifilembo fyapalana	The woman in front is wearing a red shirt with a black short while the one behind is wearing a blue shirt and black short
22	1	icela nacikwata ama wilo aya nshimbi	The iron has metal metal wheels 
23	1	Ibumba lya bantu bali ku ncende ya panse ku cintubwingi nabeminina balelolesha ku cisebele ku ntanshi  ukuli abantu abaleimba 	A crowd of people are outdoor in a certain place watching people singing on the stage
37	2	Abantu abeshile mukukutika kumisela bali abasansa ngashi	The fans are equally joyous 
12	1	ehe, elyo pali imbwa Iya fita ne ya buta amasako	there is a white dog and a black dog
33	1	Umwaume no mwanakashi bali ku ncende ukuli icikulwa cama buloko ya kashika	A man and a woman are standing near a redbricked building 
29	1	umulumendo naikata ipepala ilya kubelengapo mu minwe.	A man is holding a piece of paper in his hands.
16	1	awe chishinka pantu kuti wapona ububi	Yes it is true because,one might fall down badly.
14	1	Abakashana abali four nabafwala ifyakufwala ifya katapa katapa baleshana nebumba lya bantu lilebatamba.	Four ladied dressed in green are dancing and a crowd is watching them.
35	2	Kuli abantu abapusana pusana.	There are different people
6	1	kuntu balefuma kuli necikulwa icabutulukila icili mwilinga lyakukulilila.	There is a whitish building that in a wall fence where they are coming from.
8	1	Kuli abantu abapusana pusana kunuma	there are various people in the background
35	2	Pali ifyapala ama tuuka ayengi	There are some shops in the place
12	1	nabafwala  nefya kuichingilisha impepo kuminwe	they are wearing warm cloves to protect the hands from coldness
33	2	Elo kabili iyi kompyuta iyakile naikwata icikope icilemoneka katapa-katapa	This computer has a greenish picture on the screen
22	2	kulubali yakwe kulemoneka imishishi sha muntu umbi	there is someone elses hair on one of her sides
30	1	umwana umwaiche naikala panshi ale wamya insapato yakwa Namayo uwiminine	A boy child is cleaning the woman's shoes as she stands.
8	1	umulumendo alenina ulupili 	a young man is climbing a mountain
33	1	Bambi abantu  nebekala panshi mupepi na kamana elyo bambi nabalala panshi	Other people are sited close to the sea and others are lying down
4	1	Elo munuma iya iyi imbwa ndemona palina akashimbi aka buta	There are a lot of cars in this place.
8	1	yalishiba ifya ukusamba Tailekele na kumuti 	it really knows how to swim. it is not even having the stick
12	2	Ihorsi uyu mwanakashi akwelemo panuma ile toloka	the horse this girl is on is jumping
35	1	Bonse amenso yaloleshe kumo kwine, katwishi nga ninshi ba mwene.	They are both looking in the same direction at something
19	1	Nafwala na kasote, akontamine panshi yalupili emaninepo.	he is wearing a hat and has bent over
6	2	invende ukuli imbwa kulemoneka ukwalamba nakalimo kulangalila abaice inshita iyitali	The place where  the dog is looks dirty as though kids play there,
9	1	icuni icabuta cilepupuka	A white bird is flying
38	1	Alemoneka kwati ni balya abensha ba kabalwe na ukucimfyanya na abanabo.	she looks like those who are in riding competitions
17	1	Imbwa iyaume ilebutuka palunkoto	A male dog is running on grass. 
28	1	elyo shitata uyu imishishi shakwe shilemoneka kwati shila susuka pantanshi pantu kwena palemoneka akalupala.	This porter's head is likely to lose some hair due to age, as well as develop a bald head.
26	1	bashitata babili bele chinfyanya ukubutusha ifinama fintu bakwelelepo	Two men are in a horse race.
35	1	Aba abalumendo balitemwa ukwiminika ifimbayambaya elyo balashungulusha umupeto pa ncende imo ine.	These men like to stop vehicles and turn their wheels on the same position.
18	1	ee boi,elyo akamukashana kene aka kalemoneka akasekelela kafwile kalefwaisha saana ukwishiba ukushelela muli ishi nsapato.	Yea dear, and the other girl looks excited as she wants to become better at this.
8	2	fili mu malangi ayapusana pusana 	the balloons are of different colours
35	1	Namayo umo uwabuuta inkanda ali mumuputule uwakwipikilamo.	One white skinned woman is in the kitchen
39	1	Abaume bamo nabanakashi batatu  Bali pamo  kuculu panshita yakasuba bonse bane nabafwala utuputula , abanakashi babili bafwele utuputula twa fita elyo umo  umwanakashi no mwaume bafwele amakaputula yelangi lyamakumbimakumbi 	three little girls are at a hill in the afternoon, they are wearing shirts, two in black ones and one in a blue one
37	2	Imbwa iyo iyi tangile naifumya na ululimi panse	The dog that is behind has its tongue out while panting
1	2	abaume abekele patupuna tabekele panchende imo ,umo iwikele pachipuna ichabuta Ali munshi yachintelwe nelyo umubiye akele mulusuba elyo akele pachipuna ichafita	the people sitting on chairs are not sitting on the same place, one who is sitting on a white chair is under a shade while the other is sitting in sun on a black chair 
2	1	Pali ifyani apo beminine kabili bafwele ify kufwala fya pusana amalangi	they're both wearing different kinds of clothes and they're standing on grass
31	1	ibumba lya bantu lile pita munshila mu kalale lilemoneka kuli efyo lilesefya	a group of people is passing through town, they seem to be celebrating something
38	1	Abakashana batatu balesekelela elyo baleenda pamusebo.	Three young ladies are smiling and walking on the road.
4	1	Aba sungu babili baleshimika ilyashi baleilolesha napamenso	These two white people are looking at each other while talking.
19	2	Nafutatila icanuma kulya lubali eicho ifinso fyabo tafilemoneka iyo	They are facing the other direction therefore their faces are not visible 
22	1	bambi naba fwala fya buta	the ones on the other team are dressed in white
36	1	kateya wamupila uufwele ifyakashika kashika ena naimya momulu mulu kwati alefwaya ukupoka umupula wamubiye	one player in red  has lifted his legs like trying to get the ba from his friend
8	1	Umwaume aletoloka pa mpunda	a man is riding and jumping on top of a donkey
4	1	Pali ba lumendo aba teya yalya amangalo beta ati American football abene	Men are playing american football.
38	1	Cifwile calikosa icine pantu ngatacikosele, kuti cakusukusa icine cafuma na apo caikwata.	it must be strong  because it can break  and throw you off and break off its hinges
26	1	Abantu bale enda mumusebo kuncende ukuli ifikulwa ifitali	people are walking somewere with tall buildings
12	2	Bushe ale yangalila muli aya nsapato aya kwete ama whilo panshi?	is playing with skating shoes?
20	2	Pali abakashika na aba mutuntula, umo palembelwe 'ROBERTS' kunuma.	some are red while some are orange, one of them has ROBERTS written at the back.
16	2	Cipalile kwati kuli ilyashi likalamba kuncende yine iyi ndemona nalilya ibumba liminine kunuma lishile mukusenda ilyashi.	It looks like there is so much news in the area.
35	2	Kuli na ifimbayambaya mupepi.	There are some vehicles nearby
17	1	Imyotoka shile pitana mumusumba umowine nabantu	Cars are passing in the same area with people. 
37	1	abantu bali muchikulwa chakulwilamo ulubuli balelwa	people are in a karate hall 
36	2	Panshi apaleenda umulumendo palemoneka utu maluba utwauma nefi mabwe ifi kulu fikulu	on the ground where this man is stepping there are dry flowers and big stones 
31	1	umusungu umu kashana nakwela kukashimbi akafita, naipilibula nomubili	a young white girl has climbed onto a black pole and is upside down
35	2	Ninsapato shamusangonshi ishi afwele?	What kind of shoes are these she is wearing?
8	2	Nakumakasa yakwe kuli indyato ishabuta	she has white shoes on her feet
37	1	Imikomo yama drum ibili naitabililwa na intambo elyo pakati pali naicimuti	The two drums are tied with a rope with a rod in between
22	2	nafwala inkansu itali ne citambala kumutwe, naiminina	she's standing while wearing a long dress, a head covering
10	1	abaume na banakashi babili nabekala panshi	A man and two women are seated down
12	1	chacine, elyo kuli ifi kulwa ifingi saana Eko bale lolesha	that's true there are alot of buildings where they are looking
11	1	Elyo kabili nangu cakuti alemoneka nakwatako umwenso panono, ali ne nsansa kabili alesekelela lyo alelolesha abaume abali nokumwanka	though the child seems abit scared, he is smiling because he knows that the father will definitely hold him
39	1	Bonse naba fwala ifyampepo ifyafina pantu nakutalala uko Bali .Nakuba nakutalala pantu iyi inshita baleenda mwishitima ninshita ya bushiku	it's because this place is cold and because they are in the train at night
5	1	Nawishiba kwati naikwata ubwafya na menso eco baifimbile pa menso	it might be the eyes that are not ok that's why the eyes are covered
39	1	Kucifulo cimo kuli imbwa elyo na pushi ali mwisamba lyacapala itebula lyamapulanga panse	a dog and a cat are under what seems like a table
33	2	elo uyu umukashana na olola amaboko kabili amolu yakwe naya bika kwati aleshana	She has stretched her hands and legs like she is dancing
30	2	Nikucifulo nshi aba abana bali kabili kulemoneka shani mumimonekele?	Where are these kids and how is the place looking?
29	1	pabaletamba bambi nabekala elyo kuli na icikope CA mwanakashi ico baiminika.	Some people are watching whilst sited and there is a picture of a woman at this place.
14	1	umwanakashi aleshelela naikata nautumuti kuminwe	A woman is skiing and she has two skiing rodes.
20	2	Umulandu wakuti alifye eka apa tatwingeshiba bwino sana, lelo kuti caba umuli monse.	because he is alone  we can't know for sure but is can be anything
18	1	akoni kekala pamusambo katemenwe boi,ndemona abene imitima epo shikele apapene.	A bird only seats on a preferred branch Br, they also preferred muddy to clean water.
10	1	Pamusebo kulolela imyotoka shapita, elyo waciluka	On the road, you wait for cars to pass and then you cross 
38	1	Ici bemininepo epafumina icushi mu ng'anda nga mwalikwata apakukosesha ishiko mukati ka ng'anda.	where they are standing is the chimney where smoke comes out if you light a fire in the fireplace
26	1	Akamwaiche akaume nakemya fulagi mumulu	a young boy is lifting a flag  up
20	2	awe ico teti njishibe mune,kunuma yabo kuli na imbwa yabuta amasako	I don't know either, but behind them is a dog with white fur
1	2	takulemoneka abalibonse  bushe umwana alinabani	it seems the little child is on its own. is there anybody with the child?
6	1	Umwana nabamwimya mumulu elyo elemoneka uwansansa.	A baby has been raised in the air and he us looking happy.
16	1	epobala ngabapwishe uku samba pamumana olo ngaba pwisha amangalo ayaliyonse	That is where they go when they are done with their games.
8	1	balibikako na intambo ishakuputula umwakupelela 	there are even ropes that demarcate a boxing ring
10	1	balebutuka mutufyani utunono  umulemoneka kwati nalimo nimucibansa	They are running in the small grass in which it looks like it's in the ground
37	2	Ishi ndeke shile endela mwisaamba kabili mupepi pakwebati abantu batambe bwino bwino	The planes are flying very near to the surface ground
35	1	Kuli nefikulwa ifyo balila nokunwinamo	There are some bars and restaurants too
38	1	Kwena ubo bukulufye mucimo, temumushinku iyo. Nayo efyo yapangwa ukuti taikula sana.	it is only big in appearance not in age. It is the created that way, not growing very big
12	1	Elo, chipalile kuli chintu mukati kale lolesha	it appears there is something she is looking for inside
31	1	umulumendo umusungu aleimba elo alemoneka napunda pakwimba	a young white man is singing and he seems to be screaming 
9	1	kabili iminine pa mfula ya makaasa	And it's standing on snow
21	2	elo ulupili ulu alekwela lulemoneka lwalishupa ukukwela pantu luntu ulwa kweleka nokusonta mumulu nalimo filya icimuti cisonta kumulu	this mountain appears to be be very difficult to climb as  it is upright, like a tree is
20	1	umukashana naiminina naikata mumusana nakobeka necola	A lady is standing with her hands on her waist and has a hand bag
12	1	bashikulu bantu bale tula ichipunda mwi libwe lya menshi	An old man  is making a hole in a rock with water
8	1	Kumwenafye kuntambo baikakiile mu mukoshi	it is evident from the rope tied around the neck
29	1	icimbaya mbaya icafita cilepita mumpanga m,umusebo cilepitamo ulemoneka uwamatipa nganshi.	A black car is passing in the bush and the road looks to have a lot of mud.
7	1	kulina icisasa balipanga icakucingilako	They have also made a fence.
8	1	Naikwata amasako yabuta elyo nayafita	it has white and black fur
18	2	ee efyo cilemoneka boi,nabena nabasansamuka pantu balefwaya baibimbe munsansa shabana babo.	Yea dear, she must be their mother as she is also smiling along.
10	1	Umwana umwanakashi ale butuka naimya naka cola	A young girl is walking and she's lifted a small bag
38	1	Abaume babili nabekala mumuputule uwakwipikilamo ku ncende ya makwebo.	two men are sitting in the kitchen in a mallthey look like they prepare the food sold in this area
1	2	bushe munshila alinabanani?	who else is with him as he is walking?
34	2	na mayo ne mpiya mu mufuko kukuboko	a woman with money in a pouch in her hand
4	1	Kuntashi yakamana mumbali, muli amabwe ayakulu kaili napa mushili palemoneka notu muti	There are big trees near the stones.
5	2	Bushe finshi balecita aba bantu bali muli uyu mupitule ?	what are they doing in this room
37	2	Mwishitolo line muli namayo ulelanda pali lamya,kabili ali uwasekelela	In the same shop there is a woman who is on phone and she is smiling
39	1	Abantu napamo mutanda Bali pa cilifulocimo panse panshita ya bushiku Pali aba Pali abanakashi  babili  nabaume  bane	six people are in the same place at night, two of them are women while the rest are men
7	1	elo ukushili nikumbali yamumana  mupepi neloba lyauma	The sand is so dry.
30	1	Abantu abengi nganshi Bali ku ncende ilemoneka iyabuuta pamulandu wa meenshi makasa	A lot of people are in one place which is looking white due to snow
4	1	Elo tubili utunono tuleangasha ipepepala elo ulu kalamba nalu lala	Two dogs are playing with a paper.
37	1	mumbali yamusebo muli namayanda	there are houses along the road 
38	2	Aya amenshi yalemoneka ayalengama. Bushe menshi ya mumumana aya?	this water loooks to be very clear. Is it river water
33	1	Elyo kunuma ya fensi kuli ifimuti ifingi ifya katapakatapa	Far from the river there are lots of trees seen
4	2	aba abanakashi nabalumendo abale enda Bali na abantu Bambi umumwine muncende bali	Men and women walking in a group of people.
26	1	neyi ichende ilemoneka kwati nakalimo nikuchibansa ukwangalila abashilika	And this place looks like a play ground for soldiers.
35	1	Uyu umulumendo nangu aleangalila mumbali, alemoneka kwati alefwaya ukutolokela mumumana.	Though this young boy is playing on the shore, he appears to want to jump into the water
35	1	Munshita ishakusefya, abantu balitenmwa ukusefya na inyimbo.	During celebrations, people like to celebrate with music.
10	2	Nafwala icintu cimo kukuboko kwikusu	He is wearing something on his left hand 
32	1	Ehee kabili kuli umuntu umbi ule mulandishya akobomfya iminwe pakulanda	Yes because there is a man talking to him.
34	2	aka mwanakashi akaice  naka fwala itangasa namu kupiki uwa kashika	a little girl wearing flip flops with fair skinned foot bottoms
35	1	Umuntu umo aleensha akambayambaya akanono mumusebo.	One person driving their small car along the road
30	1	umuntu umulumendo ale enda nafwala neca mpeepo icikulu	A white grown up gentleman is in the street wearing rather a bigger bomber.
6	2	bushe kuti ilepepeka umuntu nanguala ileyangalafye nabene baisunga imbwa	Is the dig chasing the person or it is just playing with the owner.
15	1	mulandu nshi yalemoneka ayakashikila amenshi?	why is the water looking brown?
39	2	Bushe bashikulu bantu abafwele Ishati lyelangi lyabuta , jaketi lyelangi lya butulukila netoloshi lye langi lya fita aBali pa ncinga finshi becita?	what is this man doing?
11	2	Bushe cinama nshi icine?	what animal is this?
26	2	Afwile pali ifintu alefwaya ukufunyako kufimuti fyali kunchende ali	Obviously there was something he wanted to get from the trees at this place.
17	1	elo ile agalila napacende apali ulunkoto ulwauma	And it's playing at dry grass. 
26	2	Ehe nabafula abantu, limbi pali emakwebo yali pancende iyi iyinga lenga abantu ukwishila capamo ngefi	Yes there are many people, maybe there was bussiness done that made people gather together like this. 
22	1	umukashana alimutulo nabika nomutwe pakubeya	the lady is fast asleep with her head on the shoulder
13	2	Naku numa naumbi nai shinga ifya balala kumenso. Aya yale moneka kwati mangalo ayaku ishinga ifintu kumenso	They is another one behind who is painted on the face, seems they are at an event where people are painting themselves. 
29	1	abalumendo babili nabekala pa muulu wa cibombelo elyo babili nabeminina. 	two boys are seated on top of a machine and two are standing.
26	1	Awe efyo bafipanga pakutila file cingilila bwino sana paku shimya umulilo	no, this is how they are made, so that they can be well protected when quenching fire
32	1	umusungu umwaume naikala alelishya ifilimba	A white man is sitted playing the music.
19	1	nakulubantu  alimumuputule wakwipikilamo 	A woman is in the kitchen
27	1	Umana umwaume naikala na foloko mufyakulya naikata netobo	A youn boy is sitting with a folk in his food while he holds his cheek. 
5	2	pakamana pali ifibata ifingi nafikala fye pa menshi	there are a lot of ducks on the lake sitting on the water
37	2	alebelenga napa mapepala	He is reading the notes of the song while playing
29	2	Bale moneka naba naka, bushe finshi bacila cita? 	they look exhausted, what were they doing?
7	1	imbwa iyabuta ili mucibansa icafyani ifya katapa katapa	A white dog is in the field of green grass.
38	2	Iyi incende bapangila ukuti abantu bengesa tusha na ukwangalako sana sana abaice.	this place was created for fun especially for children
38	2	Bushe ukusha incinga muli iyi incende, teti wasanga nabakwibila?	does one leaving their bicycles there not risking them being stolen
4	2	Kaili shibili Pali ishi imbwa,  shili ishakashika elo imo ili iya fita.	One dog is red and one is black.
22	1	nabika sana amano kufyo alecita	he seems to be paying attention to what he is doing
25	1	motoka ya muntuntula ili pafyani, kumbali uko motoka ili, kuli icilangi nbantu kunuma yaciko	a yellow vehicle is on a lawn, and on its side is a mirror behind it.
20	2	Ebushibulimi umfwako ubu, limo kufulafye na ishati pakubombako bwangu hahaha.	This farming that you hear about, sometimes you just take off your shirt so that you work fast hahahaha  
30	1	Abantu abengi apali abacaice naba kalamba bali kuncende imo na basenda nefyola munuma.	Many people where there are young individuals are in one place and they are carrying bags
11	2	kabili iyi mbwa naikwata necamumukoshi cafiita kabili naimya nomucila	The dog has a black collar and it has raised its tail
29	2	Elyo eku ale nyina bali kobeka na malembo paka pepala	and the fence wire has a poster with words on it.
8	2	imbi naisuma iinankwe 	the one has bitten into the flesh of its fellow dog
11	2	Umwanakashi nafwala icisote nelaya	The girl is wearing a  dress and a hat 
10	1	umwanakashi nanina panjinga alecofwa napapa necola	A woman is on the bicycle, she's riding it and she's carrying a bag on her back
33	2	Aba bene abana balemoneka kwati balefwaisha ukusambilila elo futi balemoneka kwati baalanda 	These children look very eager to learn and they seem underprivileged 
21	1	nalimo aleesha ukupilibuka ilya beta ati back summer  kabili mucibansa mwine ifyani fili ifyasakamamwa bwino 	perhaps he is trying to do some back flips. the lawn in this field is very well trimmed.
5	2	Bushe finshi balecita aba bantu pali ici cintu?	why can't this person for
30	1	elyo kwishilya kulepita ifimbaya -mbaya	And also vehicles are passing on the other side of the road.
27	1	Aletina uku pona efyo alebonfesha amaka yengi.	he is afraid to fall that's why he is using alot of power
10	1	Imbwa yabuta ili mumpanga ile toloka akamana	A white dog is in the bush and it crossing a small river 
19	1	Shitata ali pa snowboard mufyakufwala fyakaba, kabili namakalashi mumenso.	A man in warm clothes and glasses is on a snowboard 
22	2	aka mwaiche ale cinda pameshe	this young boy is dancing on water
1	2	kulemoneka mwaliba ubusanso mumangalo aya, bushe baichingilila Shani mukuichena?	this is clearly a rough game. how do they ensure they are not hurt?
2	2	nabakwata umupila uyo nalimo baleteya elyo umwaice uno nabikapo ukuboko.	they have a ball placed in front of them, one of the boys even has his hand on thhe ball
19	2	Umwando umo uli uwamutuntula elyo umbi nao uwakashika	the ropes are tied from the rope descending down to the bottom of the mountain
39	1	Ishimbwa shili mupepi necibi kabili pamushi shili palifye utufyani utunono apatali patali	they are close to the ground where there's grass
29	1	shikulu bantu umo naiminina nasekelela nashintilisha nakukanshimbi,elyo kunuma yakwe kulishikulu bantu naumbi uuleisa.	A man isstanding while leaning to a metal bar and he is smiling, behind him is another man who is coming.
20	2	eya niwe wasosa kwati fili pafikansa fyacalo nga wamona icipampa cili pambali	from the poster on the side, it seems she's telling him about politics
