pair_id	sentence_id	bem_transcription	en_translation
37	1	Shitaata alepula mumfula	A man is passing  through  the  rains 
8	1	umulumendo aletoloka mumulu 	a young man is jumping in the sky
6	1	umukashana naiminina pamilando shibili isho basulamika pakamana ishibomba ngobulalo elyo naikata icikopelo alekopa	The  girl is standing on two ropes that are acting like bridge  as she takes pictures.
26	1	chachine Sana mukonafye fintu baleyangasha infuti mumotoka	That's true, you can see with the way they are playing with guns. 
36	1	elyo apapene aleyenda palemoneka icinshingwa cakwe	additionally on the ground there  a shadow  of him
14	2	Kanshi balasambilila bwino saana pantu alilumbikwa saana ukuti icipanda conse ewaishibafe ukukwela icibumba.	Then they will learn properly since he is well known in the area, he is the best at skirting.
18	2	awe kwena kalisalapuka,kaleimya notumolu kwati kaleshana.	Indeed, she must be too clever with her legs raised up as if dancing.
38	1	Ibumba ilya ba shitata na banamayo baleshana.	a group of men and women are dancing
5	1	umwaume motoka anininemo ili iyaisuka pamulu	the car is open on top
29	1	umukashana umo ali pakati nafwala na ilaya elyo kuminwe afwele ifyakulwilamo,mumbali muli nabantu abalemutamba. 	A lady wearng a dress and boxing gloves is in the middle, on the sides are people that are watching her.
11	1	Kuli intambo iyo  bakakile ku mupila 	there is a ball that is tied to a rope
27	1	Cilemoneka nanaka nokucimya uku ali ku town 	She looks tired to be carrying it all round town.
11	2	Cine, emulandu wine bemishe amaboko pakutila basontepo umo	that's why they've raised their hands so that they are pointed at
1	1	umwaume ufwele ichampepo ichatikama naikala kunuma yakwe nashintilila kuchibumba	A man wearing a warm thick  jersey is sitting and ligning on the wall
9	2	Bushe ilebutuka ukufumakwisa?	where is it running from?
2	1	umwanakashi Ali ku cibansa ca mbwa uko shisambilila ifya kutoloka ne misango imbi.	the woman is in a dog training Stadium
17	2	nasumina kabili imbwa iyi naikwata amafufu ayengi  pamubili	I agree and this dog hadvalot of fur on its body. 
29	1	Umwana umwanakashi ali mwi tuka lya fyakulya, cile moneka natangila asha abakalamba ali nabo kunuma pantu alishibamo mwi tuka ili	A young girl is in the food shop it looks like she has left the big people she is with behind because she knows the shop very well.
2	1	umwana natoloka sana apatali apalemoneka kwati ni kalupili akanono 	a young boy is jumping off a hill
14	1	icibansa naco ca katapa katapa	The ground is green.
29	1	ndemona bakateya ba uyu mupila balomfwa bwino saana nga baleteya nabantu ngabalebalumba.	It seems these players feel nice when they are playing and people are cheering them on.
6	2	nakwata nakacola akobeke akabutuluka kukuboko kwakukuso elyo kuminwe naikata lamya umukalamba	He is having a greyish bag on his left side and he is holding a big phone.
39	2	Umo pali aba bana mwanakashi lyena umbi umwana mwaume	one is a girl while the other is a boy
37	1	umulumendo alemonekafye eka	the gentleman is just seen alone
29	2	cilemoneka uyu muntu nikanyekanye saana mucofa incinga.	It seems this man is an expert in riding bicycles.
22	2	nafwala ishati ya makumbi makumbi	he is wearing a blue shirt
17	2	eehe elo uyu mulumendo nafwala ifyakwi cingilila kumasanso umubili onse	And this gentleman is wearing protective clothings from accidents. 
5	2	Ifyo cilemoneka mwandi, bushe naumona icinshingwa ca  muntu icilemomeka pamushili?	have you seen the Shadow of the man on the ground
2	2	kuki ifikulwa fya fyani uko ncende umwana uyu ale butuka	there is a grass thatched building in the farm
12	1	Chipalile ka ntambo chikwete mukanwa	it seems it has a rope in it's mouth
19	1	Kabili pantanshi yakwe umukashana nafwala amakalashi yafita.	and in front of her is another young lady in black glasses
1	1	chipalile balelomba ifyakusangula ifuma kulibamupita nshila	this is one way they raise money from passersby.
37	1	ibumba lyaba kashana naba lumendo abali pakusefya 	A group of young men and women are celebrating or partying
10	2	nomba umukashana eleya kwi ne ncinga yakwe	But, where is the lady going with her bicycle? 
18	1	kuli na inkuni isho batulike mubali yakamana	there's firewood which they put on the side of the lake
9	1	Ku cifulo ali nakutalala kabili nafwala icampeepo ca fita	The place where he is it's cold and he is wearing a Jessy
13	1	Umuntu uwa chaiche ale butuka kumbali kwa mumana uwukalamba eko ale angalila	A young boy is running by the shore of a very river. He seems to be playing.
5	2	mubali yamumana mulemoneka ifimuti ifyakwata amaluba ayengi	there are a lot of trees on the side of the river
22	1	ku mpela kuli ama motoka	they are some vehicles at the far end
4	1	kunuma kuli uyu umwaice kwali nabalumendo babili, elo eko babelele kuli nempanga	There are two men near the hild in the bush.
16	1	walicitapo ifi acitile uyu umusungu nafwala na ishati ilya katapakatapa na akasote akamulopa mulopa	Have you ever done this before?
38	1	Ali ipelesha ku kuteya kwakwe, elyo talefwaya umupila ufume bapele abo balecimfyanya nabo.	he is very committed to his game and does not want the ball to go out and be given to their ooponents.
36	2	uwiminine pantanshi aba nomwefu uukulu elyo nafwala necisote cakashika kashika	the one standing in front has long beards and is wearing a red cape
20	1	ala mune balifilonga busaka busaka elo fimoneka nafikwatako nakamutengo	they are well arranged and they seem so expensive
26	1	akamwana akaume naka Fula inshati nakemakana	A young boy without wearing a shirt is standing.
15	2	bushe finshi imbwa yafitulukila ilelolesha?	what is the black dog looking at ?
17	1	 Abantu nabekala bambi nabo nabemina paku tamba nokulumba aya amangalo 	People are sitted while others are standing as they watch and cheer this match. 
30	2	cacine wasosa mune, abana aba babili nabakuminkanya nemitwe 	You are right, they also have out heads together.
18	1	Shikulubantu umo naikata ukuboko kwakwe mumusana cilya alelanda na shitaata uyo alina umushishi uwa fiita kumutwe	one man is holding his hand on waist while he's talking to the man with black hair
5	1	Elyo kabili abashala bekelefye  tabaleangala iyo	the others are not playing 
17	1	Cilemoneka kwati baleya ku kalale mukumona umwana wabo.	It looks like she is going to the city to visit her child.
26	1	Nakuntu bali kulemonekafye akwa buta katwishi ngani kwisa bali	and where they are looks so bright, don't know were they are 
8	1	kili ico ifubatile ku kanwa 	it has grasped something tightly at its mouth
8	1	Imbwa ileangala	a dog is playing
23	1	Cilemoneka kwati uyu umukashana wabusaka kabili alewamya inga'nda yakwe	This woman is probably a clean person, that's why she is cleaning her kitchen
26	1	Ehe afwile alitusendeleko ati bendele capamo mumusebo	it seems she's taken them for a walk on the road
11	1	Cine elo shalikwata amafufu ayengi pa mubili cilelenga shilemoneka kwati ni mpanga	They have fur on their body and it is making them look like sheep
9	2	Nikwisa Bali?	where are they?
24	2	Mumabwe mulemena utumiti tunono utwakatapa katapa.	There are small green trees growing.
35	1	Bushe ni mu mpanga umu tuli?	Are they in a forest?
38	1	kufyalo fyafunguluka, kwaba ifimbaya mbaya ifipita muli ishi shine injanji ifyo abantu babomfya ukwendelako mumusumba.	in developed countries, there are vehicles that use these rail lines hat people use when moving in a city.
38	2	Bushe ukuboko emishe, ni pakuti engepusha ilipusho?	Is she lifting up her hand to be given an opportunity to ask a question?
30	1	bashitata abasungu bali mubwato baleoba beka	Some white men are in the boat paddling.
37	1	Abana balelolesha fintu baletambika umukashana kumaboko	The children are watching to see what is being presented to the lady as a gift
15	1	ku lubali lumbi ulwa mumana kulemoneka kwati kuli icibansa umo baleteya umupila	on the other end of the river, there's a football ground where people play football from
10	1	abanakashi batatu nabeminina balelosha paci kope	Women is standing, they are looking at the picture 
39	2	Kabili aba babili bafwele ifyampepo fyakashikila elyo namakaputula yafiita	they are both wearing red jerseys with black shorts
10	2	Bushe finshi wamona ifya lenga ulande ati ilipa mangalo	Buy what have you seen that has caused you to say it's in the game 
22	1	kumbali yakwe kuli umulumendo nafwala itangasa  ilya fita	there's a man besides him wearing a black trousers
31	2	balemoneka bantu baupana alepekanishisha capamo ifya kulya  muntu alepekanishisha muli amakabini yakashika	they appear to be a couple who are preparig their food together and there appears to be two red cabins
4	1	Emukwai nifyofine mwasosa, kaili utu utubwa tulaba utwa cenjela sana	The musicians are in the studio.
5	1	imicamga shilemoneka nashikaba  pantu akasuba nakabalika sana	the sand looks very hot because it is so sunny
8	1	Namwentula na pakanwa	she is even smiling
20	1	kunuma yakako kulemoneka amolu yamuntu nayacinama napo nimfwalashi tetiwishibe	you can see a person's legs and an animals legs behind her, maybe it's a horse you can't know
25	2	Bushe babomfi ba pan'ganda yantungulishi ya muchalo aba banakulu?	Is this the same worker who works at the  house of a leader of the country?
34	2	Cipalile kwati naisopola icimuti.	it seems the dog broke the stick from somewhere
11	1	Abantu abali mu bafwa baletamba umwana uli mumenshi aleangala	Four people are in  the bathroom watching  a baby bathing in a bath tub
20	1	talemoneka pamo na namayo apalamine kuli kakopa wacikope	the person is not clearly visible together with the woman close to the photographer
23	2	Uwacaice umwaume umo aletoloka ninshi umu umulefuma amenshi yalesasa ninshi alifye namakasa	One boy who is barefoot is jumping over the splashing water
1	1	ukutampilafye kukanwa, pe shati na pakuboko ukwakukuso ukwa umukashana napentwe nangula ikuyengaulwa  nga amachungwa	starting with the mouth,on a shirt and on the hands there are orange drawings
2	1	umwana umunono Ali panse ya nga'anda apalepona infula ya mabwe yabuta	a little boy is out in the snow
16	1	Imbwa isha kashikilako shibili shili mumenshi.	Two brown dogs in the water.
33	1	Umwaume uwa nkanda iyafita ali ku maliketi eko aleipikila 	 A black man is at the market place where he is cooking from
7	2	baletamba umulumendo uleensha icingulungulu cakwe pamulu wafyela ifyankanya umwakwendela 	There is even a young man skating on top of wall bars near stairs.
35	2	Apa bafwile nabafika apatali balelota na ukulota.	She is in deep sleep. Must even be dreaming
1	1	Baletiina ukutalala, kumonafye ifykufwala bafwele.	well, that is obviously because it is obviously cold as they are also wearing warm clothes.
11	1	Naisenda icimuti icipi nga nshi  kabili icafina	It has a a heavy stick stuck to its mouth
35	1	Inga aba bamayo baleya kwi?	Where is this woman headed
37	1	Petebulo pantu bali balipo bane abakashana batatu elyo na umulumendo umo	they are five on the table four ladies and one gentlemen 
2	2	ku ncende ekele kuli ifyani ifilekula na ifimenwa na ifi palile nga amaluba ya buta	where he is sitting there are other plans and white flowers
26	1	Abantu bale tamba abalumendo abalelisha ifingoma naba sansa muka noku sansa muka	these people are watching some men playing drums and they are very happy
38	2	Nomba ninshi uku eshile, ni banani alelishisha?	who is he playing for in such a place?
7	1	icilimukanwa cifwile cakwangasha.	This dog has a toy in its mouth meant to play with.
36	1	awe mune nga ee fashion iyi katushalilefye mwe umuntu alemoneka kwati lishilu awe	even though it's fashion then better we just remain old fashioned not where someone is looking like a mad person
36	2	Mu kalale muli ifi kulwa ifingi, ifitali, ifipi, fimbi nafikwata amalembo fimbi fili nefikope. 	a child is has board something and holding on with hands
23	1	Cilemoneka kwati abene bacikulwa eba pangilepo ici icibumbwa	Seems the owner of the building is responsible for the existence of this statue 
38	1	Aya amatuuka ilingi yasangwa mu ncende mulya umwafula abantu elyo bantu abapina.	these shops are usually found in specific areas, especially areas wheren poor people live
27	2	Aba batata inga bacifuula ijacket pantu nakukaba sana.	The man should have taken off his jacket because it's very hot. 
9	2	Nafwala me toloshi ilipi	She is wearing a short trousers
9	1	bali munshi ya bulalo	He is under a bridge
18	1	Pambi balemoneka kwati bali mwishitima	at the same time they look like they are inside the train
1	1	munshita yabushiku amwanAkashi ubkmbela muchikulwa chabwalwa naiminina kumbali yelinga	At night a lady that works in a bar is standing alongside the fence
33	1	Ku ntanshi yabo kuli utupepala twa malembo  uto bakambatike ku cibumba 	In front of the room there are stickers with words stuck on the wall
4	2	elo paline chushi icikalamba  intu efyo indeke ileponya file shinya umulilo	There is too much gas from the plane.
14	1	Kanshi ekuposhanya umusango uyu twamona nensansa,baibukisha inshiku sha kale nemisango shonse baishibana nokwishibana.	That's how come they are greeting each other in such a jovial way, they are rembering the good old days.
18	2	abaice aba tabomfwa,cipalile kwati akalumendo kalefwaya ukudonsela akamukashana pamulu.	And these kids are naughty, he is even pulling the girl up the skateboard.
37	1	bonse nabafwala amakalashi yafita mumenso napo nga kuchefyako ulubuto lwa kasuba mumenso	they are both wearing sunglasses to avoid too much sunlight in their eyes 
18	1	nomba umulumendo wine alelyafye itaba eka teti akontweleko nomukashana,ubutani bulemoneka napa menso.	And this gent though eating alone without sharing with her, this is so mean of him.
14	2	Bushe mashina yabo bale lemba panshi nangula balelenga ifilubi?	Are they writting down their names or thry are drawing?
10	1	nikwisa aleya umwana nikusuku nangula nikwitempele	Where is tbe child going? Is it to school or church? 
29	2	Uwiminine nafwala ica buta elyo uyu umbi nafwala ifya fita na ba muponya panshi, bushe ba lelwa nangula bale angala fye?	the one standing is wearing white, while the one down us wearing black, are these two fighting or just playing?
38	2	Ili ituuka bashitishamo inama na ififuma ku nama.	This is a shop that sales meat and other animal products.
30	1	eehh bane  umwabusaka saana elyo nefipe ifingi fyapangwa ne mbao	Indeed fellows it is so clean with most things made of wood.
21	2	Eya cikankala pantu kuti wapona nga uleenda elyo uletinika lamya 	Very highly recommended, because you risk falling or anything if you do not.
4	2	Kaili pa kunaka anakile, pali umulemendo uli kunuma yakwe u fwele ifyafita alemutotelako pakuti abutuke	There is a man behind putting on black clothes.
27	1	eya mukwai,  cilepala kwati aba bantu bali pamo.	yes they should be together
30	2	elyo balemoneka kwati balewamya mukati yachikulwa	They are looking like the ones cleaning up the place.
18	2	nabafwala amakalashi yafita,elyo na ichisote ichakuichingilila kubusanso	he is wearing black sunglasses and a helmet for protection
18	1	shikulubantu wamushishi walukwa ali mumusebo aleseka	a man with plaited ahair is in the road walking
7	1	awe ninfyofine napamenso yakwe palemoneka ati afwile ukuba uwachenjela ilyo aleensha	Even his face shows that he is clever.
1	1	umukashana nanina Panuma yakwa kabalwe	A girl is on a horse
31	1	Abana abaume babili abafita inkanda nabekala panshi 	two dark skinned young men are sitting down
27	1	Abalumendo bali four baleyenda mumusebo.	Four young men are walking on the road
18	2	cilemoneka kwati amabwato aya muli abantu abemine pamo ukuya mukwangala.	These people seem to have started off together playing, thus their boats.
6	1	bonse babili nabafwala ifyampepo umukashana ena afwele icabutulukila icitali nafwala nensapato ishitali.	Both of them are wearing warm clothing but the girl is  wearing a long grey one with tall shoes:
13	1	Kunuma kule moneko umwaume. Kule moneka ukwa fita, limbi bali mu chikulwa cha bwalwa nangula bele mu kusefya	Behind them, there is a man, they must be at a party. 
7	1	umukashana naikala bafwala icaketi ilyamakumbimakumbi elo alikwata umushishi uwakashika.	A woman with brown hair is sitting.
33	1	Abantu bane bali ku ncende ukuli ifikulwa namalaiti ayakile	Four people are in an area that has buildings with lights on
25	1	Bushe shilebutuka pa mulandu wakweba ati shileangala fye nangula shilebutukila kumo?	Are the dogs running because they are  playing or they are just running for the sake of doing it?
17	2	eehe nasumina kabili ndemona pali noutumuti ukwakili	yes I agree and there are sticks lightened up. 
7	2	ee kwena cishinka ico pantu na amenso yambwa iyi tayalemoneka.	Yes it is true because the eyes for this dog are not showing.
25	2	Awe kwena kwakokola ukusala kwa chipani kwafika namuchungulo bushiku mpakafe awina umusalwa wabo,nomba ninshi naku talala saana?	The selection for the election has really taken long,it has even reached in the evening untill the person they wanted has won. But is it very cold?
37	1	Mumenso na pakanwa pali apa fita fititi	The shadows below their high brows and mouth are very dark and making them look very horrible
30	1	Abantu batatu abapusanapusana baleendela pamo mu musebo munshita yakasuba.	Three different people are walking together on the road during day time
21	2	ukulingana ne icinshingwa cakwe namayo uyu, kulemoneka nalimo cungulo nangula elo buleca	from the shadow, it is clear that this could be in the evening or early in the morning.
20	2	Mumusebo namo mwabafye nabashaishiba myendele, ukabamwenafye uko baleisa.	most people in the road don't know how to walk, you can just see them coming from afar
13	2	Umbi afwele itoloshi elyo umbi aka putula. Bale moneka bali paku butuka echo bale yolwela	One is wearing a short and the other one a trouser. Perhaps they want to start running.
22	1	kamela yakwe yali fita, 	she has a black camera
19	1	Kanye-kanye wapa mulabasa naikala pacipuna mu muputule wa filimba.	A radio expert is sited in a radio station
29	2	uku kuncende kulemoneka kwati cibansa icikulu umulecitikila amangalo ayapusana pusana.	This place looks like a play park where different games take place.
11	2	Kumbali yakwa kabalwe kuli ifimuti ifyalambalala ne fya iminina ndi	There are logs and trees behind the horse
34	1	kulubali lwa kukuso ukwa mukashana kwali shiikama ici bwato	to her left is a buried ship 
1	1	imo iyikalamba nainina paibiye elyo iletinya imbwa iyinono	the big one is on top of the small one scaring ot
6	2	awe citalile talepeluka aleshungululuka pantu nangu kulolesha imishishi shakwe ishakashikila shileyelela mumwela.	It seems she is not swinging but spinning because the hair is being blown by the wind.
5	2	umo nakwela kukuso kwa ici cintu umo ali pamulu elo umbi naikala pakatii, uwikele napapa noku papa nalimo pali ifyamupapusha	one of them is on the left side of the slide the other is on top of it and the other is Midway down the slide the one sitting which really shocked like he has just seen something very surprising
14	2	elyo ilebutuka kuli akalepupuka mumulu bushe nifinshi ifilecitika	As it is running there is something flying. What is happening?
14	1	Abana abume babili umo afwele ifya fita umbi afwele ifya kashika balelwila umupila waku minwe.	Two boys, one dressed in black while the other one is in red are fighting for the ball while playing rugby.
7	1	shikulubantu aleyenda mumusebo	A man is walking in the road.
39	2	Bonse babili umulumendo no mukashana nabafwala ama galashi ayafita kumenso ayakumwenako ngakuli akasuba kabili umwanakashi nakobeka icola camingoloshi yamalangi yabili Ilya buta ne lya fita	both are wearing sunglasses, the lady is carrying a black and white bag
14	1	abantu babili balemoneka abasansamuka	Two people look happy.
32	1	Umulumendo umusungu umukulu aletolokela pamenshi	A white man is jumping in the water.
39	2	Cilemoneka kwati uyu muputule baleubomfya nge cipatala, pantu pali kondapa bafwele icamakumbi makumbi pali umwanakashi wikele pamupando uli pantashi alelondolola ifyo aleumfwa pamukoshi	they are using the room as a clinic, because the doctor in blue is talking to a lady in front of him explaining something to him
32	2	Bushe finshi uyu umukashana alelolesha kumbali yamusebo?	What is she looking at right there next to the  road?
7	2	cipalile kwati panshi pali umumana  emo aletolokela	I think this boy is jumping into a pool.
12	1	kuli no lupili kunse ye linga 	there is a hill out side the wall fence
9	2	cangalo nshi ishi mbwa shileangasha?	what kind of game are these playing?
14	1	Emukwai ici ecikulwa eco abantu abafuma kuncende shalekana lekana bekalamo.	Yes this is the guest house that accomodates a lot of different people.
21	2	alemoneka ali muka bungwe ka balya abalisha ifilimba ninshi nabafimya palya bale enda mumusebo, pantu bonse nabali kunuma yakwe balemoneka bafwele fimofine nefyo afwele umukashana uyu	she is among a crowd of people playing these trumpets as they walk along the road and they are all wearing the same clothing that this Lady is wearing, and they are walking behind her.
11	1	Ee, efyo cilemoneka, kabili kukulyo kwa mbwa kuli ne cilemoneka kwati mulando waimikwa bwino	yes it seems so that's , and on the rigt side of the  dog there is a log
10	1	Nabwila elyo takuli na ulubuto bwamano, napakumoneka paci pikicala, niicikamela naikwa ulubuto	It's evening and there is no light, and for them to seen it's because the camera has a flash light
33	2	napamulu waicii icikulwa ca maalilo pali icikulwa nacimbi icikwete icibumba ca katapa-katapa	On top of the restaurant there is another building with a green wall
20	2	tabafwele ifyakufwala fyabakasukulu elyo uyu umo nafwala nakasote eicho teti ndande ati nibakasukulu mune	they are not uniforms but one is wearing a hat is hard to tell if they are students
25	2	Cine , maka maka uli ufwele ka siketi ka jinis naka shati kafitulukila ena nayasama naku kanwa  kabili aletota 	very true, especially the one wearing a gray shirt and jean skirt as her mouth is wide open and she is clapping 
32	1	Awe teti apone pantu ekele pamusambo ushinga kontoka.	No she can not fall because he is sitting on a strong branch of a tree.
15	2	elyo tumbi tuli utwakashika	while others are red
13	1	Yala basanga elyo ifwile yali wishiba nomusebo. Kuti yaba nunsha neko bele kaili ifwila na iswata akachena kabo	Indeed, it seems it also knows the road too well, and it also has their scent to follow after. 
5	1	kuli uulentinta ulusapato ecilengele akabwa ukukana lekelako kulusapato	there is someone pulling the shoe that's why the dog is still holding on to the shoe 
29	1	ala boi abaice balitemwa ukwangala mumenshi katwishi ngacinshi cilenga ukuti batemwe amenshi umusango  uyu.	I dont know why kids love playing in water, they really love water.
1	1	alechifyanya mulubilo lwanchinga eicho nafwala nechisote achakumuchingila mukuichena kumutwe	he is in a bicycle racing competition and that is so because he is even wearing a helmet on his head to prevent him from getting hurt.
11	2	bushe finshi bakwete muminwe?	what are they  holding in their hands?
22	2	limbi kuli ico ba lelolela	I think they are waiting for something
37	1	Mupepi na apantu emanine pali kamotoka	there is a car near where he is standung
7	1	amenshi makasa nayena yalemoneka ayabuta tutu	The snow is so white.
17	2	umo umwana umwanakashi naimya akabwa akanya muminwe yakwe	One lady has lifted a puppy in her hands. 
7	2	kucibumba kuntanshi yambwa kuli notumuti balitutantamika ilyo lebyala	There is a tree plantation near the wall.
21	1	cacine pantu fintu alelolesha aya malaya pa cikope alemoneka ni nabwinga uulefyailisha ilaya lya kufwala pa bwinga 	from the way that she is looking, it is clear that she really wants to buy her own dress, hence, she herself is a bride.
38	2	Ili ibumba lya bantu, pali cimo ico likonkele mukumona nangu mukucita.	This group has gathered to either see or do something.
21	1	Bakateya wamupila wakumakasa bali mucibansa camupila.	Football players are on a football pitch.
5	1	abantu abengi nabakolongana pamo	a baby is seated in a jumping castle
5	1	Umwana aleelela muwele mumuputule ukwete inyali pa cibumba 	little boy is floating in the air in a room with lights on the wall
10	1	bushe cinshi ici icilemoneka kwati nalimo mupila 	But what is this that looks like a ball? 
11	1	kabili aka kamwana nakamwentula ilyo kufukeme	The boy is also smiling as he is kneeling 
5	2	Finshi balecita aba babili apo bekele?	what are they doing?
12	2	aba banamayo abali kuntashi ,Naba papa ichola	this lady behind is having a bag behind
4	1	Kuntashi yakamana bali kule moneka amabwe mumbali kaili nempili ishili apatali shilemoneka 	The people behind are watching the game.
14	1	Kanshi ekulala alele umwana pa bed apali ifyakufwala.	That's why this baby is sleeping on the bes that has clothes.
33	2	Bonse batatu bekele pa fipuna ukushunguluka itebulo	All three are seated around a big table 
1	2	ubusanshi buli nabucingililwa ukuti talepona	the bed is protected so that the baby Will not fall
12	1	Mwalo lesha panshi, kuli inganda ile moneka nefimuti	when you  look down there is a house and trees that are seen
34	1	umulumendo uli ku lubali lwa kuno na biika ukuboko pa mpumi alefwaya uku lolesha apa tali	A young man staring at a distance with his hand on his forehead
25	2	cine wasosa , elo balefwaya ukufwala kabili nabafwala ishati lya makumbi makumbi nabakwata ne nkoloko 	Very true,  he wants to wear the apron  and he is wearing a blue shirt and he has a watch on his hand 
30	1	Utulumendo utubaiche tubili tuleyangala	Two young boys are playing.
33	2	Ishi imbwa shilebutuka kabili imo ili ku ntanshi ya ibiye	These dogs are running one is ahead of the other
12	1	Chipalile, chile yangala fye keka mufyani	it appears it's playing alone
7	1	amenshi nayo yalemonekafye ayafundaika 	The water looks mixed up.
27	1	Kalelolesha epo kanyantile umulandu wama color keyonfwa bwino	She is looking at where she is stepping because she is amused by the colors. 
19	1	Aleituluka alelungama mucimana ico cilifye mumbali yalupili	He is descending towards the waters at the foot of the mountain
39	1	Mu cikuulwa cimo muli umwaume no mwanakashi abekele kabili pakati kabo pali icafiite cikalamba	a man and a woman are inside a building sited with a huge piano between them
14	1	akabwa akanono kalebutuka	A small dog is running.
14	1	umwana Ali munshila aleangala	A child is in the road playing.
28	1	kuntanshi yakwe kuli icikulwa icha fita mwapita notwabuta.	In her front view there is a building with white ribbons.
28	2	Bushe ni nshita nshi aba bantu Bali Pali iyi incende?	What could be the time at this place?
9	2	kulemoneka ifipalile imitenge. bushe mitenge?	what are those structures that appear like roofs?
27	2	Ici bafwele kumenso cintu abaice ngoyu ulelolesha nensana batemwa ukumoma 	kids are usually happy to see people dressed this way
29	2	Muli nafimbi ifya pusana pusana bale shitisha umu muncende	There are a lot of things at this place.
14	1	ifyabuuta fiswilefye panshi ponse	There is snow all over the ground.
10	1	kuliyana kuti yabafyebwino pantu abantu basala ukucita incito batemenwe	With him it can be a good job because people choose to do the work they want 
19	1	kumabali yakwe iyimbi kuli namaluba	the other side there's floors
23	1	Kabili alebomfya ukuboko kumo ukwensha injinga pantu ku kuboko kumbi  naikata ifintu ifilemoneka kwati fyakulya	He is just holding one part of the handle bar when riding,  on his other hand he is carrying a plastic of food
16	1	umwaume ali mulwelele na incinga yakwe nafwala na ifyakufwala ifyamulopamulopa.	A man with red clothes is jumping with a bicycle in the air.
25	2	Epo tailafika iyakusefya umulungu uyu uleisa cimpwishe bwangu ukupikula', nakulu bantu aleisosha.	Before the celebrations starts next week let me finish knitting this',an old woman talking to herself.
23	2	Abacaice aba bafwele ifyakufwala ifilemoneka ukulambilila, cipalile kwati bale-angalila muma loba	The attires of these boys looks dirty it appears they wear playing in the soil
4	2	Elo umbi,uulikukulyo alemoneka fye uwa cilumendo, naikata kapu alenwa	The person on the left looks like a young man.
39	1	Umwanakashi uufwele ishati lyelangi lya butulukila netoloshi lye langi  lya fita u wiminine mumuputule panshita ya kasuba alebumaba inongo kabili  pakumba inongo alebombafye amaboko yonse yabili	she's making things out of clay using both her hands
8	1	Umukashana aletolokela mumenshi	a young lady is jumping into the water
29	2	eico calilinga abaice ukulabacingililako kuncende kumo ukwakuya pantu eco imfwa shapamenshi tashipwila.	It is important to keep away children from certan areas to avoid them from drowning.
