IMAGE #,SPEAKER_01,SPEAKER_02,SPEAKER_01,SPEAKER_02,SPEAKER_01
864,two people are in the sports field playing soccer,why is one of them laying on water?,he is the one holding the ball so that the one in blue does not score,"that's why the one in blue is jumping over him, he wanted to kick the ball","certainly, and water has splashed in all directions"
865,"Eight people, among them are seven male and one lady are in one place but on different spots",for of them are men wearing blue shirts while two are in grey ones,then there's a man in grey with a back pack he looks older than the boys then the lady is wearing a blue shirt,"that's right, two boys are throwing dirt into a big plastic bin and the rest also have plastics in their hands","for sure, since are wearing gloves, it seems they are cleaning this place and they are near a picket fence"
866,little girls and boys are all in one place,most of the little girls are wearing green shirts with white shirts while most of the boys are dressed in blue,they are dancing each girl with a boy while others are watching,it seems they are some fighting while others are watching and cheering with their hands up,"yes you right, and they are some older men with children on their shoulders, while some are cheering others are chatting"
867,"during the afternoon, a little boy child is outside",he is wearing a blue trousers and shirt,he is near flowers pulling a bottle that's in the flowers close to where he is standing,"indeed, it seems there's something blue tied to this bottle that the child is pulling",that's true and he is smiling as he is doing this and next to him is are stairs and an erect sitting wall
868,an elderly man with grey hair is standing at a bus station,he is wearing a brown robe and standing next to a poster with a bottle on it,"there's a lady with a bag in front of him and lots of people in front of her, do you know what they are doing?",they are in line waiting to get on a bus that's in front of them,that's true and they are in a place full of storey buildings
869,A lady is sited on a chair at the beach,she's dressed in blue and is resting her head on her palms as she's sited,she seems lost in thought and has stepped her feet in water,she's enjoying being at the beach and in the sand where her chair is are different footprints of different people,"she's facing the sea that has waves on it, it seems there's wind blowing"
870,"during the afternoon, five young men are playing rugby and are running",one team is dressed in green while the team are dressed in yellow and red with white shorts,"the one in white shorts is holding the ball and running very fast, there's one in green very close to him behind trying to get the ball from him",they are three other men in white shorts also running towards them,indeed everyone is running so fast to win the game and they are playing it in a sports field
871,A man on his bicycle is in the air,he is wearing a yellow shirt with a black trousers and has long hair,"that's right, he is not sitting well on the bicycle the moment he lands he might get injured because he has bent","indeed that's true, he is so high at the same length with tall trees",and he is in the bush full of green trees grown close to one another and dry tall ones
872,"two doctors are in one room, one is dressed in blue while the other is in green and sited on chairs far from each other","they are using the room as a clinic, because the doctor in blue is talking to a lady in front of him explaining something to him","and beside this woman is a little girl standing, then they are injections on table and the doctor is paying attention to what the lady is explaining",then on the other doctor's table are two kids one in a red cap while the other isn't wearing one,"it seems they too are discussing something, beside the table is a little boy standing in a red cap looking at what the doctor is about to start writing"
873,a little brown dog is running,it has lots of fur,that's true and it has its tongue stuck out as it's running,have you noticed that where it's running is full of soil that's muddy?,yes I have seen it's because it's playing near a river
874,a man and a woman are inside a building dancing so close to each other,"is that the reason why the lady has done this, she's stretched her left leg and right is bent","yes that's why, she's also stretched her left hand and she's wearing a shiny red dress",the dress has left her waist outside and she's paying close attention to her dancing,"that's true, there's a man holding her hand, this room has a very shiny floor and people are watching them dance"
875,more than twelve people are outside a huge storey building doing different things,"among them, three are dressed in black a man and two women, have you seen what they are doing?","it seems the man is teaching them how to dance, the man is between them, it seems the lady on his left injured her foot then the one on his right is amazed at what he is doing",behind this amazed lady is a man in a white shirt standing face down with a man sited in front of him,then they are people in small groups sited on the stairs chatting and there's a man in black getting on the stairs 
876,two women are in the kitchen,it seems this is a mother with her daughter and they are both wearing aprons,"they are facing each other's back, it seems there's something the daughter is cutting on the table while the mother is doing something on the other table",it looks like they are inside a restaurant,"it could be, there's a chair to sit on and pictures stuck on the wall"
877,A group of men are on a boat that's on the river,"all the men on the boat are wearing white shirts, what are they doing?","most of them have peddling sticks in their hands, they are peddling so that the boat is able to move","that's the reason, but others don't have, then one man is sitting on one side of the boat","that's true, the boat has writings outside, there's also a red rope tied to the boat out should be from another boat"
878,A group of people are inside a building,the building looks like a church and it seems they are going to get some things inside,"it seems so, and they are dressed in beautiful colors, many of them are dressed in red while others are in white","it seems like a group of women, but why are dressed in a similar way?",it's according to their tradition most of them are wearing head covers and standing on an erect wall so that they can see what's happening inside
879,two dogs are playing on a green lawn,one is black while the other is brown,"the black one has its back legs on the ground, then it's on top of the other with it's head on the other side",have you seen what the brown dog has stuck to it's mouth?,yes I have seen it has a plastic with a white lid on it
880,"A group of men are playing a game, all of them are wearing helmets as they are playing and they are two teams playing against each other",what game are they playing?,"they are playing rugby, the team with the ball is trying it's best to keep ball away from the other",it's a red ball that has been thrown in the air then the man in a white and yellow shirt is jumping to catch it,"that's true, then they are men gathered together as though they were fighting for the ball and they are playing in a sports field"
881,An old woman is being pushed on a wheel chair by a young man,near them is a person standing as though showing her something she's holding in her hands,"they are in front of a huge well built building with
made with glad on top and looks like a movie Cinema","it could be, then there's a blue flag outside similar to the posters stick on the building",and there's a white rent on the other side and close to it is a man passing
882,"at a camp site, people have made tents outside",there's a green tent that is clear inside,have you seen the little child dressed in a blue denim jacket?,yes she's standing very close to the table it seems there's something she wants to do or see,it seems so and there's another mounted tent in front of her
883,A man in a white shirt and a black trousers is in a very beautiful place riding his bicycle on the road,there's a black vehicle on the road and other vehicles line up and parked on both sides of the road,they are parked in front of very clean and different colored houses,"this place is really clean, have you noticed where the vehicle on the road is heading?","yes I have, it is heading towards the hills full of green trees and they as well are very beautiful"
884,"In some place, a man is sited on his motorcycle wearing an helmet and glasses",he is not wearing a shirt and has tattoos on his hands,"quite right, he is not the only one on the road, they are other men on their motorcycles and some road signs almost everywhere on the road",they are red road signs and they are some men in front of buildings it seems there's some function going on,it seems they are racing against each other using their motorcycles and there's a man on one side watching what's happening
885,an elderly man is on the road playing his music instrument,what instruments is he playing?,"he something like a guitar, a drum on his back and a flute ",there's a guitar box on the ground that's open and he has so many instruments why's that?,he wants to play really beautifully so that people give him some money and close to him is a lady in a hat walking and a vehicle on the road
886,this building is full of young ladies and men,"it seems it's during the night, what are they doing?",among them is a lady in a white crop top holding a bottle and her hair she's talking to a young man,then there's a lady near her with her hands in the air that's close to another lady with shaggy black hair,"it's clear all the people are doing different things, like on the red table near the young are beer bottles"
887,"four young children are on a boat on the river playing, one of them has their mouth open",three of the kids are girls while one is a boy,they are all wearing a blue life jacket and are holding on to the front of the boat,"there's a green rope in front of the boat, but why are the holding on this way?","it's because the boat is moving with great speed and splashing water everywhere, if they don't hold on they might fall"
888,"inside a dining room, two ladies are sited on chairs and facing each other","close to then is a man that's bent over a little in glasses, what are they doing?",the man and one of the ladies are trying to lit up a candle that's on cake on the table so is the other lady,they are four glass cups on the table with juice in them and one plastic cup,it seems people are celebrating something and near these three are two ladies standing and chatting that are very happy
889,two ladies are standing while two are sitting on an erect sitting wall,one of them is wearing a black top with a black trousers and has a handbag while the other is wearing a red and black dress,"the one in a black top and white shirt is telling some thing to the one in the dress, the one in a dress looks surprised at what she's hearing","yes you are right, and she has put her hands together while the one sited are watching her",behind them is a vehicle with some ladies at a distance there's also a storey building
890,two ladies are dancing,each one is holding the other using one hand,they have both bent their necks while they are dancing and are wearing dancing clothes,and both are wearing similar long skirts with the same bras,they seem to be enjoying dancing and they are dancing at night
891,A man is standing on top of a building being constructed,he is wearing a blue shirt and brown pants,he is holding a log in his hand,he is near a storey white building,he is on a scaffold and there's a house next to the building
892,A little girl is standing on stairs,she's standing on the entrance of the house while leaning against the wall,she's wearing a red Sari that she had wrapped so well,have you noticed what's close to where she's stepped her feet?,"yes I have, there's a small flower pot with a small tree in it that looks like a flower"
893,a man is on a tiny bicycle,he is wearing glasses and a green shirt,"he is very happy and facing one side, have you seen the man close to him?",yes he too is on a bicycle though on a bigger one,they are both in the road while lots of people are on the side of the road both young and old standing and holding flags
894,A number of people are in place doing different things,have you seen the man in an apron?,"yes I have, he is barbecuing something with lots of smoke coming out",they are some other men behind him cooking,"that's true, this place is a restaurant that's why they are people buying food in front"
895,three people are standing in front of a huge table,there's one woman with two men,the man in between seems to have a high position because the other two are interviewing him,they are paying attention to what he is saying and there's a long cloth behind them,"that's true, it seems these people met for an important meeting because there's a computer on the table"
896,two little boys in black shirts are playing,what are those that these little boys have?,they are playing on their skateboards and playing outside a building,one of the boys is on his skateboard ready to skate and holding on to his friend,then the friend is leaning against the wall and holding his skateboard in his hand
897,a dog is running such that is legs are in the air and it's tongue is stuck outside,it is white above is neck and grey from it's neck and below,it is running in a place full of ice,what's that on one side away from the dog,it looks like a picket fence with trees close to each near the fence
898,"six women are standing around a table, then there's one woman sited on a chair",all of them are wearing summer hats,"that's right, except the one sitting, but they are all wearing sunglasses and others are holding papers in their hands ",and their hats are the same but of different colors and they are in a place full of trees,"and they are well maintained, there's a flower pot on the table with red flowers in it and it seems they were discussing something"
899,different people are inside a building,what are these people doing?,it is a mall full of different stores and they are inside the shops,it is a storey building and really huge,from the bottom up until where they are are some different colored decorations
900,"two dogs, a white one and another white on its face and brown are standing next to a wall",the one is bigger than the other dog,there's a bicycle that has been place next to the wall,where are these dogs?,it seems they are near a store because inside the store is a counter
901,three men and one lady are in a beautiful place with a lawn and green trees,"among them is one man wearing a blue shirt with jean shorts, what is he doing?",the man is playing with his brown dog and he has bent down alittle add the dog is in the air trying to catch what has been thrown to it,"then behind him is a man holding a camera, wearing a blue shirt and a black trousers, he has knelt on one leg and capturing the man with his dog","yes, then behind him is a man and a lady sited on an erect sitting wall, they too are watching the man and his dog"
902,A young man and a lady are sited,what are they wearing?,the young man is wearing a white shirt while the lady is wearing a black one and she has a bag around her neck,the window where they are sited looks like a big vehicle with other people in it but what are these two doing?,the man has the lady on his laps and holding her waist while she's holding his neck and they are facing each other as though they are about to start kissing
903,A man and some ladies are inside a plane,he is wearing a black jacket with glasses,"that's true, even though one of them is standing it seems he is holding a book close to his stomach",that's true and he has a grey and red bag in his hand ,there's a lady in front of him standing then there's a man standing next to wear people are sited
904,"three men are standing, one of them is wearing a jean trousers a grey shirt and a black hat and is holding a bottle in his hand",the one next to him is wearing a grey shirt with shorts and has put his hands in his pockets,then the one at the far end is wearing a white shirt with a black trousers and has put his hand on his tummy,what are these men doing?,they are standing and looking at the hills in front of them and paying attention to what they are seeing
905,a lady in a blue shirt is bending looking at something,what is she wearing on her face?,she's wearing big goggles as she's looking into a bottle in front of her,why is she wearing goggles and where is she?,so that she's able to see properly into the science experiment bottles and she's inside a lab
906,people are resting in a park,this place had sits and tables where people can rest,"that's true because on one table is a man in white, he is eating something as he is resting, it seems like a restaurant",that could true because all the sits have tables and near this man is a storey building with thick writings,there's another building on the other side with a white storey building and very big windows
907,"A man, woman and are a dog are walking","they are wearing brown jerseys with jeans, the man in a blue one while the woman in black","they are both wearing sneakers, then the dog is held by the man using a black dog collar, it is a grey dog","they are heading towards the direction of of man that's heading their direction, he too is wearing a jersey",it seems it's a really cold place and the people are in front of a store and they are people walking on the road on one side
908,"during the night, some men are walking on the road",there's an elderly man in front and a little boy behind him,the little boy is carrying something in his hands and is wearing a hat,where are these people?,they are in a place full of storey buildings with lights on
909,A man is on his brown wooden like boat,what is this man doing on his boat?,he is on the river paddling his boat so that the boat can move on water,there's a brown basket in front of the boat while the man is sited at the edge of the boat,and the river is a huge one and the water looks blue with little waves on it
910,"nine people are on a lawn, among them are young men, women and a little boy","they are doing different things, what is the man that's bent over doing?",he is looking through a telescope to see things in front of him,there's a little boy child in front of him that's holding his waist with a ball in his hand,they are four others doing different things in groups and a vehicle parked near a flag it seems there was an event
911,"during the afternoons, a man is sited in a beautiful place with a green lawn",there's a bicycle near where he's hang a black bag,they are some clothes on the lawn and the man is naked with his legs apart facing the other side,"I'm wondering why he's undressed, what is he holding in his hands?","I'm also wondering why he's makes, he is reading something like a newspaper"
912,a little girl with her mom are playing on a lawn with people near them,the little girl is wearing an apron on top of her clothes,the mom is wearing a white shirt and squatting to reach her height,what's the child doing to her mother?,she has differently colored papers that she's put in one big brown paste she she's throwing them into her mother's hair
913,"during the afternoons, four elderly men are sited outside",three of them are sited on one couch while one is sited alone,"among the three, one of wearing a sleeveless black shirt and leaning his hand against the couch then the other one is wearing a grey shirt",the one on both ends is wearing a blue shirt and they have big tummies that are the same,"that's true, the elderly man sited alone is wearing a blue shirt and near them is a table it seems they are relaxing"
914,a man is standing with his right hip outside,what is this man doing?,he is holding one hand on a big rock next to him then the other on his forehead,that's very true and he is in a place full of hills what exactly is he looking at?,he is looking at a big white river very far from him on the ground
915,a young be man is sited in the assistant pilot's sure on a plane,he is wearing a pilot suit that's green and grey,"he seems to be doing something, do you know what he is doing?",yes he is praying button on the roof of the place is as though he is pointing at something,"that's true, the plane has more buttons in front next to where he is sited and there's no one sited in the pilot's sit"
916,"during the afternoon, a little girl child is playing",she's wearing a blue dress and has black hair,she's playing close to a brown camel that's resting on the ground with it's head up,what's this little girl doing?,she's trying to pet the camel and she has a bag pack
917,some men are standing in a sports field,the man in front is dressed in red then the one behind him is in green what is this that the one in red is holding in his hands?,"he is holding a trophy, undoubtedly he has won a bike riding competition because the trophy has a person and a bike on it, this man is very happy",even the man behind him in black glasses is very happy,"indeed, behind them is a lawn full of people with a yellow car parked"
918,A man is leaning against ice,why has he done this?,"it seems he is skating on ice or it could be that he is tired, have you seen how his dressed?","yes I have, he is wearing really warm clothes, a jersey, gloves and a thick black trousers","he is wearing a mask, it is hard to see his face, it's only his eyes showing, then they are trees in front of a house at a distance"
919,a blue bee like insect is flying close to a flower,"it's a beautiful differently colored flower, it is green, blue and white","it is indeed a beautiful flower, but what is this insect going to do?","I'm not quite sure but it has very pointy beak, a really long one",it's pollinating the flower and getting food from it at the same time
920,A man is in his sitting room playing with his baby,"he is holding his baby, they are both happy and smiling",the baby is in a baby stroller covered with a white blanket and laying on a white cloth,there's also a TV inside this room that has been placed on the table,"then on the wall next to the TV are three sound speakers, a lamp and a picture"
921,A lady is inside a store that sells different items,she's wearing a blue shirt and a red head cover,there's a cupboard full of different glass bottles next to where she's standing,things are well arranged in the cupboard according to size and length,"very true, there's also a long table full of different glass bottles in front of the cupboard and a lady near it looking around, it should be a store that sells different glass bottles"
922,two young men are riding their bicycles on the road that has a road sign on one side,they are both wearing red jerseys with black shorts,they are both wearing helmets and black goggles,"they seem to be carrying tiny back packs, then one seems to be ahead of the other",the one ahead looks younger than the one slightly behind and they are riding their bikes on a road full of dry grass on one side
923,A lady is sited on a lawn with lots of doves near her,"she's wearing jeans and looking at the doves, but why are they in numbers near her",it's because she has food in her palms that she's feeding them that's why they are many,there's a green bag next to her and a lady that's squatting while talking on phone,"they are actually lots of people behind this woman, men and women sited, it seems it's a place for relaxing."
924,A young lady is standing and bending down alitte,"she's wearing shorts, a shirt and has tied a cloth on her wrist, why is she dressed this way?",she's playing  tennis using a tennis bat,where's she playing this game from? because she seems so worried,"yes she seems so, there's a black fence made with metal with people standing on one side"
925,a man wearing a blue shirt is inside a building,why are his clothes dirty?,it's because he is working and using a drilling machine at the moment he is using a drilling machine,that's why he looks like this and there's light sparks coming out as he drills,"that's true, he is wearing ear buds to shield himself from noise as he works"
926,"two men are standing in a very clean place, they are wearing black glasses and are paying attention to what they are doing",one of them is on a log of wood holding a poster in his hand,then the one on the ground wants to hammer the poster that the other one on top is holding,there's also a curved gold frog statue on top of the tree close to where the man's hand is,there's another a white poster with writings on this tree that's already stuck to it
927,two men with one lady with brown hair are in a storey building,one of them is wearing a shirt is wearing a sleeveless shirt and is carrying a yellow plastic and heading towards a man,then there's a man heading the same direction in a black shirt holding a metal rod with flowers on top of it and covering it,why does he look this way and why is he at the lady?,it's because the lady is insulting the man using her middle finger and there's an adult and a child on the other side of the broad road
928,"during the afternoon, a little bit child is on the road with a blue bucket",he is very happy and wearing a black rob what is he holding in his other hand?,a blue bag pack and walking next to an adult man wearing a robe with a white head cover,there's a man behind him dressed in white and had black beards that's very happy,then behind him are two men near a vehicle talking while there's an adult man and a child walking on the other side of the road
929,a place is full of different people both male and female walking on the road,they are others on erect sitting wall sited as though they are waiting for something,these people are sitting next to a white ambulance,"you are right, they are sited outside a storey hospital",and this hospital is well built and the people are passing under a shade and they are vehicles on the road
930,two dogs are in the bush full of grass that is trimmed and are running,one is grey while the other brown,the grey one looks bigger than the brown one,the grey dog has a brown dog collar tied around its neck that the other dog doesn't have,"that's true, and both dogs have their tongues stuck out"
931,different people among them male and female are walking,"they are not walking together as though they are a group, one lady is wearing a grey jacket and black trousers is walking alone",on the other side of the bridge are five people dressed in black walking together and they seem very happy,"indeed, this bridge is made in different parts such that people can walk at same time",and in front of the bridge are different storey buildings
932, a lady with beautiful big eyes is in a store,she's dressed in something red outside with a black shirt inside,she has a necklace around her neck and a number of different bangles on her wrist,that's true and on the table she's standing next to are small yellow papers and she has blue ones in her hands,she works in a library full of different books and on the wall are some different pictures
933,two kids are playing during the afternoon,one is a girl while the other is a boy,they are playing on a black swing tied up with a black rope,the little girl is on top and it seems she's looking down,the the boy is swinging as though he is about to drop off from the swing
934,three dogs are playing in a place full of soil and they are three men on one side on their bicycles,two dogs are white while one is brown,the brown one is bigger than the others and it's running with the other two dogs,"the smaller ones have the same black dog collars, why are they running?","they are chasing after a black ball in front of them, the white one is in front then the brown ones behind"
935,a lady is climbing a white mountain and her hands are around the mountain,she's wearing a brown shirt and a black trousers,she has different colored strings in her waist or it could be they are ropes,"and she has a small bag in her back, the way she's pushing herself to climb won't she fall?",yes she can fall but the rope in her waist can protect from injury incase of any danger
936,a lady is in a sports field playing high jump on metal rods,"she's wearing a blue underwear with a crop top, why is there a number on her shirt?",it's because she's competing with others in this game that they are not suppose to drop the metal rods when jumping,that's why she's jumping face up it should be a very hard game to play,"indeed that's true, there's a black watch timer on the ground, it's obviously so that they do not go overtime"
937,"during the evening, a lady and a young man are on the platform",she's wearing black clothes and a white cap and has a microphone in her hand,then the man is wearing a white shirt with a back trousers and has has done a black flip with only one hand down,"the lady is walking around the stage, what is she doing?","she's facing the man as she's singing her heart out and enjoying, they are working together for an amazing show"
938,"during the afternoons, a young man is laying down face up on a corridor of a building",he is wearing a red shirt with a blue trousers and glasses,as he is laying down he has stretched out one leg while bending the other in the air,and he is leaning his head on his hand while stretching the other one,his mouth is open and this building has huge windows
939,a group of ladies been are gathered together in one place,they are dressed in similar green clothes and they have sound instruments,"they are in two groups, men and women, they are lined up neatly then between them is a lady with drums",behind these groups are people sited in the auditorium made of metal in a stair form so that people don't obstruct each other,behind+ them is a huge white tent then they are people watching them
940,"during the afternoon, in a beautiful place full of trees and grass, are two dogs on a lawn",they are both black and brown on their feet and face,"yes they are very similar, they even have the same height, have you seen what these dogs are doing?","yes I have, one of them is trying to bite the other one's throat",and it seems the other one is screaming and they have their legs entangled and both have dog collars around their necks
941,three little boys are standing outside,two of them are wearing red shirts and white shorts,one of the two is not wearing shoes then there's one wearing a blue short and is shirtless,what is the one in a white shirt and shoes doing?,it seems he is pushing and pulling his friend and they are happy as they are doing this
942,four men that are in a band are outside underneath the shade of a tree,one of them in a black shirt and a jean trousers is standing and playing his guitar,the are two others behind him operating a sound system on the table close to them,then there's another one playing a number of guitars where he is sited,then the other two are playing guitars and the one next to them is playing the piano
943,A white man is on top of an erect wall where place where people skate,"this place is very smooth, what is he doing?",he is wearing skate wheels that he is using as he skates ,"you are right, because I was wondering what's is he doing on top",yes you may wonder because he is at this place in the night because it's dark
944,"a man is standing in a room, inside a house","he is wearing a grey shirt, why does he look this way though?",it's because he has a tooth brush and brushing his teeth that's why he has such facial expressions,"it's a really big toothbrush he's using, have you seen what's behind him?","yes I have, they are different things like a lamp on the table and a calendar on the wall"
945,A man in a black trousers and a brown hat is walking on the road,what is he carrying?,he has a number of baskets and it seems he is going to sell them,"they are lots of people in this place far from where he is, one of them is carrying lots of sacs on his bicycle",there are vehicles and storey buildings where he is heading
946,A little boy is alone crying with his mouth open,why do you think he is crying?,behind him near the door are stairs it could be he fell off the stairs,that makes sense that's why he has snow on his face,yes that's true and he is dressed in black and glasses
947,A lady with brown hair is standing in a room,she's wearing a beautiful black dress,she's slightly bent her head down and has put her hand in her mouth,"there's an inbuilt cupboard in this room, where exactly is she?",she's in the kitchen because they are dishes packed very well
948,four people among them an elderly man with three women are standing next to a red vehicle,one woman with a head cover  is taking to the man inside the vehicle as though she's from giving him what he's holding,near her is a lady in a blue trousers that's talking to the elderly man whose with a lady younger than all of them,it seems the lady in a jean trousers without a hat is traveling and that's why they are at the bus station,"it seems so, they are two other vehicles near them and on the other side of the road since storey buildings"
949,a group of people are sited on chairs inside a building,they are ladies and gentlemen,they are all wearing different clothes even though the majority is dressed in white and black shirts,"most of them are happy, it seems they are listening to something happening in front of them","that's true, it's during the night and many of them have paid close attention and watching"
950,"there's a lady sited on a chair in some place, she's wearing big sunglasses","she's dressed in green and has put her hands on the cloth on the table, why has she done this?",it's because she's a fortune teller and she uses different things to do so among them are stars and she's showing the man in front of her where to put his hands,is that why her table is full of different tools and objects?,"yes that why, there's a cloth that on the wall of the room where she's drawn what she uses in fortune telling like trees and stars"
951,A young man is playing rugby and is dressed in white,"the clothes are extremely tight, why is he dressed in such a way?","this is how he is suppose to dress so that the clothes do not weigh him down as he plays, then he is wearing a shirt that has erect shoulders to help him fight well for the ball",that's why he is wearing an helmet is it also for the purpose of the game?,yes it is and he is inside a sports field full of people watching
952,more than ten men are on the road walking close to a man dressed in white with lots of dogs in front of them,most of them are wearing long coats and people not with them are watching as they walk,it seems the man in a red coat with his hands in his pockets owns the dogs,"it seems so, the dogs are not tied to anything as they walk and are walking on the sides full of snow","that's true, they are vehicles packed on this road and trees on the sides of the road, then they are people and hills with trees behind them"
953,A man with a mustache is laying down on the bed,"it's a blue bed, but what's happening?",close to his head is someone wearing white gloves whose opened this man's left eye using one hand,"the man on the bed is still and has put his hand on his chest, why is the person standing opening his eye?",because he is at the clinic and has an eye problem that's why this eye specialist is checking
