IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
1970,A group of people dressed in all black,A group of white men,"three young men wearing glasses, the ones behind them are not wearing any",one of them is holding a red garment,two young men are shouting while others aren't
1971,one white man is playing golf while a group of fellow white folk watch,five young men wearing matching caps ,a young man is shooting a game of golf ,behind two young men are seats ,a young man playing  is wearing a unique cap
1972,"there are three people, one man walking, one woman sited on a seat while the other is standing behind them ",the young lady on the chair is holding tiny dolls,the young lady sings she is holding the tiny dolls,the child is bummed,the child is wearing a onesie
1973,a young man riding a bike,under dark clouds,his bike is in the air,the ground is covered in grass,a young man on a bike riding with one hand 
1974,"there are three people, a young man and two ladies ",behind the man is a seat with a guitar on the floor,A man and a woman in white are talking to the lady in the middle,both ladies are bear foot ,the lady in the middle is rejoicing
1975,a young man is on the road side playing guitar,with a speaker near him,with a contribution box,he is all alone in the street,there is a wooden plank by his with scribblings on it
1976,A child standing in the middle of a bridge,these young men are going to worship,a young man on a seat,up ahead is a group of worshippers,A child walking alone
1977,three boys are inside a sports field playing ball while one is watching,they are holding something in their hands,one of them is walking in the middle of the goal post,they are wearing the same hats,the one in the middle of the goal post is wearing a white robe
1978,a crowed of people with signs ,the crowed of people has set up a tent for missing people ,"one of the signs reads ""Enough Enough""! Please let them go","Another sign reads, ""Let them go""",the signs have the faces of the missing families 
1979,A lady working in a lab,she has a watch on her wristblbm,she has a microscope in front of her,behind her is a table with a book on it,the lady is happy 
1980,A young man and young lady standing around as they talk,the man has a camera and there is a car behind him ,the lady is facing the sea,at a far distance are rocks and trees ,she seems to be looking at the people crossing the bridge 
1981,a lady walking through the woods,she has a bag pack on her back,there is a crowed behind her,some are head down the same path as her,others are on a different path as her 
1982,"this dog is wet, it is in the water.",rocky waters ,its not a large body of water ,the dog is by itself ,at the far end there isn't much water
1983,two young men and a lady cutting wood,one young man digging up earth,a lady has gloves on,in the distance is one lady ,behind her is s group of people at work
1984,A group of people is standing at the market,they are gathered together in one place,and they are gathered during the night,they are here to shop for goods,all the stores are lit up
1985,two young men about to cross the road,behind one of them is a tree,they are both wearing black,at the far end of the street are two cars ,they are standing by zebra crossing area
1986,a group of people watching live music performances,two men singing while one plays the drums ,"one young lady, taking pictures of the singers ",one man is in a dress as he dances away,among the singers are two ladies
1987,A child jumping into a pool,a young man in shorts,there are two chairs behind him,he seems happy,there are shoes under the chair
1988,a bunch of people in a church,"young and old, are all there",young men and women are wearing robes in Church,the young men are wearing black robes ,another group is wearing sky blue robes with a bit of red in them
1989,three white men in jackets,a man holding a bottle,the other one is dancing with his hands in the air,there is an adornment behind him,this seems to be a beer hall
1990,one person climbing up,carrying a rope,there are trees behind the men,and of them is standing above others ,it seems he is standing on a roof
1991,A child eating bananas,there is a pouch near by,and three chairs right behind,one person sited in one of the chairs ,"there is a table near the chairs, one of them has bottles on it"
1992,A young man is doing back flips,they are some people at a distance from where he is,and they are some trees at the far end,two people are standing and watching him,and there is a building behind him
1993,A lady painting in the woods,she is in shorts a shirt and a hat,on the ground are two small bags and a bottle,in these woods is a tree and grass on the ground,on the far left is a house
1994,A dog running through a forest ,it has its leg up,the skies are pretty bright ,the dog has its mouth wide open,there is grass on the ground
1995,two dogs playing in the woods ,the black dog is tiny ,the brown one is big,the big dog is beating the tiny one,the woods have tress and grass
1996,A child is standing along the house foundation,leaning against the wall,wearing shorts and a shirt,there is a tree in the front yard,there are rocks and trees at the far end
1997,Umulumendo Ali mu bwato,he has captured alot of fish,there are five birds in the sky,there are mountains at the far end ,these waters are quite deep
1998,two men laying outside,they are lying behind the house,these houses seem flat roofed ,there is a fence along the house,and trees along the fence
1999,A young man playing with a doll,there is a car behind him,its a dog doll ,and he has other items,and he is touching the ground
2000,a bunch of girls in a forest,one of them is lying ona piece of cloth laid on grass,they seem to be on a picnic,five girls are wearing bikinis,three of them are sited in front of trees
2001,A young man next to an Angelic Sculpture,he is holding a bucket and a broom,the angel sculpture is on white stone,on the left side are trees ,he is in work attire
2002,a young boy jumping over a metal bar,he is on the road,there are four cars behind him,there is grass along the road,at the far end are people standing
2003,an infant playing,there is luggage behind the baby ,this looks like a restaurant,beside the infant is another baby,the baby is using the chair as support for standing
2004,three girls and a man are in a jacuzzi ,the skies are bright with rainy clouds,they are all in swimming costumes,there mountains at a far distance ,the sky is cloudy 
2005,A lady is dressed in black clothes,there is a crowed of people behind her,in the far distance are tents ,there are rainy  clouds in the sky,a lady has a hair piece on
2006,a crowed of people holding flowers dressed uniformly,they are all wearing sky blue ,there is a young man among them,behind them is a tent with one person in it,two ladies with black bags 
2007,two couches standing in the middle of the stadium,some are wearing white others blue shirts ,the pitch is painted with white border lines on green grass,there are sits at the far end ,two coaches with papers in their hands 
2008,a young man resting on a chair,there is a metal sheet behind him,his head is lying ona bag,on one side is a large tree and two smaller ones ,a young man resting on metals 
2009,a lady jumps up in the air,she is very happy ,she is putting on a shirt and long pants ,there is dry grass on the ground ,the skies are cloudy and there are trees behind her
2010,young men pulling on iron,five young men wearing unform clothes ,one young man pushing iron ,a house from a distances is like a palace ,The iron has metal metal wheels 
2011,the dog is outside the house,there are flowers behind the house,the dog is rushing to get in the house ,this dog is furry ,the house door is open 
2012,young men buying  pineapple's from a vendor  ,three women sitting and two are selling ,women are sited under an umbrella ,one young man walking in the street ,all the women are wearing head wraps and waist wrappers 
2013,a man playing tennis ,in a red shirt and gray shorts,he is wearing white shoes ,he has a bat in his right hand,the young man has long hair
2014,there are a lot of hot air balloons ,one man is pulling on a hot air balloon ,he is wearing a white shirt,there are two vehicles at the far end,there's a crowed of people gathered in front of him
2015,three ladies holding flowers at a wedding ,the bride is dressed in white,two ladies are in red dresses ,the brides flowers are a little special,the groom and groom's men are wearing the same suits 
2016,A man and two ladies sited ,the two ladies are studying,a man standing as he reads the news ,there's a pouch to the left of the girl ,a young man with a red sweater around his waist 
2017,two ladies wearing numbered t-shirts ,two ladies are in matching uniforms,one lady is wearing a white cap,there's a forest at the far end,two ladies stretching
2018,A child is on a vehicle with a large metal frame,there is grass underneath him,The car has wheels and headlights,he is in a green out fit,he is very happy
2019,a man sited alone on a boat,there is another boat to his left,the boat is made of wood,its also a boat,the boat has a roof with lighting
2020,A man and a woman taking a stroll ,the man has his hand around the lady's waist ,the man had a white shirt on with some black pants,they are going into the woods,the lady has long hair
2021,A young man laying under the trees ,he has armpit hair,he is lying on card board ,he has some sky blue pants on with a black belt ,he is lying on the grass bare footed 
2022,An infant sited on a log,putting on a red shirt and black shorts ,seems he's happy in a red shirt,he his pointing up,he has white shoes and socks on
2023,two young men walking in a pathway ,this path way goes through a jungle,there are trees and grass in the jungle,one young man has sky blue pants and a red shirt on,one of them is wearing a sky blue shirt and black boots 
2024,three young male singers singing,all dressed in black shirts ,the one playing guitar in front of then is the lead singer,two of them are playing guitar ,he had his eyes closed as he plays 
2025,A child walking in a narrow road,this place looks like a flower garden ,there are all sorts of flowers and grass on the sides,over there is a stream ,there are people touring the flower garden
2026,two gents and a lady sited together,they are all about to board a vehicle,these people are all wearing jackets ,the man in the middle is reading,he has reading glasses on
2027,a man and a lady walking in town,a child looking at a doll in a shop,on the other end are women dressed in all black,on one side of the shop is a black dress,A child staring at a mannequin all alone in a store
2028,two men practicing their kicking and punching,they are dressed in matching outfits ,one of them has a red flower on his chest area of the outfit,they are on the roof of a house,behind them is a white wall fence
2029,A child standing in the middle of the street,there are men behind the child,near the men is a black pipe ,there is a fence in front of them ,A man in a work suite working on the fence 
2030,two young ladies jumping into the water ,there are two people in the water with black gloves on,the ones jumping are in float swimwear,there is an audience behind them,on the left is a young man taking pictures 
2031,A young man pushing iron while three dogs pull,there is grass and ice on the ground,three big dogs pulling,these are wolves ,the young man is in winter wear
2032,two men playing musical instruments,they have matching suits on and hats,behind the are two trees and a building,on the ground is a pouch,they are both in black jackets
2033,a crowed of people in a forest standing under trees ,there are men and women,there's a ladder close to the tree,one young man has a paper in his hands ,"among the people, some have their hands folded others hands on their waist "
2034,the wall had two spotlights on it,this is a Lodge ,the young man wants to touch the lamp on the wall,and he is wearing a bangle around his hand,both lights are wired
2035,A male child sited in a field of flowers ,he is wearing a red and white shirt with gray shorts,he is squatting with his hands on his cheeks,he is stepping on grass,he has white shoes and white socks on 
2036,four ladies and a man sited at a table ,they are at a restaurant,they are in a tent picking food items from a menu,one of them has a paper in his hands ,three girls wearing shades 
2037,a group of women walking in town,they all have head wraps on,two of them are conversing as they walk,some of them have hand bags ,one lady in a dress seems happy
2038,A young man riding a bike on the road,he has a hat and glasses on,he is speeding his bike,he is riding it on a road,the bike has a bottle holder for water
2039,this is a feasting house ,some women are isolated ,they are holding hand bags ,there is an infant on the right ,there is a white cloth on the table
2040,"this is a hospital, and the doctor is working",the patient is on the bed,there are women standing by the Doctor,there is a handbag on one chair ,the patient has glasses on in the hospital
2041,a lady leaning on the mans shoulder ,the man has a black blazer on,the lady is fast asleep with her head on the shoulder,there is a camera on the table ,a young man and lady on a boat
2042,ladies on a basketball pitch ,some of them are in sky blue skirts ,one of them is chasing the basketball,to the far right is a young man watching,two of them are in sky blue outfits the other two are dressed disparately 
2043,A young lady dancing ballet ,she's in a white dress ,she has little lights on as a wrist band ,her dress has red paintings on it,she has long white socks on
2044,some men and some women are standing behind the table ,behind them are sign posts showing directions to shops ,on the other side they have hung their balloons on to a tree,on this end is a vehicle approaching,the vehicle headlights are on
2045,A young man sited in front of several computers,he has red pants on,he has his feet on the very chair he is sited on,there is a black chair behind him,he has covered his head with a jacket 
2046,A young man just purchased food,he is wearing a shirt and a black jacket ,he has glasses on ,there are two bottles among the things he has,he is happy as he walks 
2047,A young man on motorcycle,there are trees and a car behind him,"the motorbike is moving really fast, almost flying",the sky is bright,he has protective gear on
2048,A mother sited on a chair in the house with a child ,they are reading a book,the mother is wearing a sky blue dress on black boots,the child us wearing a dress on red and black colored pants ,the child is looking at the book as the mother reads with her reading glasses
2049,the dog is running around within a fence ,this dog is inside a hedge,the grounds are muddy and the sun is shining bright,the hedge  is green ,the dog has its tail up and its tongue  sticking out
2050,A crowed of Asernal fans are here to watch a game,they are two balls in the ground,some are dressed in white and red shorts ,"others are also dressed in white and red, red shirts and white shorts ","the other football team is arsenal or gunners, and westham"
2051,A small dog chewing on a stick,he has a leash on him,the is white and is on a leash,it is chewing on a dry stick,there is green grass behind the dog
2052,a group of people standing outside a house,there are three young ladies and three young men,one of the men has a sheet of paper in his hands,one of the young ladies has a key chain around her neck,one of the young men has an electrical cable in his hands 
2053,a young man is on a horse,he is wearing black shoes,there is green grass and forest trees behind him,he is in a place full of horses,and there is green grass on the ground
2054,a boy having fun on a bicycle,he is wearing a sky blue shirt and gray shorts,his bicycle is red and he is riding it on a road,there is a fence at the far end,"he is wearing black shoes, his shirt and shorts are sky blue"
2055,a crowed of people is in a supermarket,they are buying items,An old lady and two young men are in a cue leading to the till ,on the right are a bunch of men reading,on the other side is a young man reading  a paper with his glasses on
2056,there is a crowed of people on the road,"on the side, is a house and some trees",there seems to be a cop on the train that is approaching,the train operator is wearing a cap and a black jacket ,some are working others are standing among the crowed
2057,tow doga are playing in lots of sand,the smaller dog wants to run,it is because the bigger dog is scaring it away,there is a fence at the far end,the bigger dog has lots of fur
2058,a boat is on the river,there is a man standing on the bridge,he is wearing a red shirt and brown pants,and he is wearing green shoes,and the sky look very clear
2059,A group of young ones is sitted down,they are outside the house,among them all the young men are looking through telescopes,and all of them are men except one who is a lady,three of the young men are wearing boots while the rest are wearing summer slippers
2060,A group of people is ascending a mountain,they are group of male and female,two of the ladies are holding walking sticks in their hands,there is fog at a distance from where they are standing,and they are carrying bag packs on their backs
2061,A man is fixing a train alone,it is a red train,it has lots of smoke in front of it,the man fixing is dressed in blue clothes,and on the other side are lots of trees
2062,a cat is looking at a child,it's on the child's left,they are inside a house looking at each other,the child is sitted on a blanket,the child is playing with something
2063,"a young man is riding a bicycle, he is wearing white shorts and shoes",at a distance where is he facing on his left is a river,he is wearing a white hat in a different direction,they are two young men walking on his right,there is a group of people at the far end and aslo a building
2064,a person is wearing a blue mask on his face,they are two men on his right dressed in yellow,one of the men is extremely excited,there is a man on the left dressed in a black shirt and brown trousers,there is also a lady dressed in a red trousers with white shoes
2065,A lady is playing pool table,she is playing it from a green table,she also has a cigarette stuck to her mouth,they are two men behind her watching as she plays,the lights in the roof are on and the room has two windows on the side
2066,a man is standing on the road,he is carrying a yellow sack,they are tall trees on the other side of the road,there's a house and a car at the far end,the man is carrying a yellow bag and there's someone walking
2067,a young man and lady have painted their faces like dolls,the lady is wearing a black dress with brown gloves,"the man is wearing a white shirt, a black trousers and a brown watch",there's a lady on the left looking at them,she's holding papers in both her hands
2068,there's a group of people in a ball game,they are men and women,they are all very happy,for are dressed in blue while two are dressed in brown,three others are dressed in black woke one is dressed in white
2069,a young man is riding a skateboard on a hill,this hill is full of rocks,there's water paint through this rocky hill,there are papers with writings on them on the hill,they are brown posters on the ground showing the road
2070,a lady is sited on a chair smiling,there's a white sack on her right,she's very happy and holding a doll in her hand,it is a blue patched doll that she's holding,she has long black hair and there's a window behind her
2071,a young man is on his motorcycle on the road,it is a blue motorcycle that's very big,he is carrying a black bag and wearing black shorts,they are trees on the other side,there's a young man in the other side walking close to the motorcycle
2072,two men are wearing white robes,they are priests,there's a young man behind wearing glasses,the priests are wearing black shoes and black hats,they are inside a house and dressed in similar clothes
2073,a young man and a lady are walking,the lady is placing her hands in his pocket,they are all wearing hats,there's a young man behind them on their right walking,the young has no clue that the young lady is touching her pockets
2074,an elderly lady is sited and selling some things,they are different dresses at the far end,the elderly lady is wearing a white hat with a green jersey,then they are flowers on the table,there's a white bucket underneath the table
2075,a lady is holding flowers on a tree,there's a lawn under the tree,she's wearing a shirt that looks like the flowers,there's rain water on top,they are people visiting this place behind them
2076,two elderly men and a some one are playing drums on the road,the young one is wearing is wearing a shirt with writings on it,the child is holding a small drum then the older one has a bigger drum,the child is wearing a green trousers,there's a group of people on the other side that's watching them
2077,a young lady is jumping over a small fence to the ground,they are five birds on the ground,he is wearing a black trousers and white socks,then there's a house at a distance,they are lots of small rocks on the ground
2078,a man is sited alone playing a guitar,he is wearing a what shirt,he is wearing a hat and glasses,there a rocky wall behind,there's a building made of huge rocks behind
2079,two people are sited while three are standing,there's a table with different bottles on it,and they are also two white vehicles parked on one one side,they are two young men on the right dressed in the same clothes,there's food on the table and a bin on the other side
2080,two boys and one girl are playing,the little girl is very happy,they are all very happy,there's a lawn and a ball on it,one of them is holding a balt in their hands
2081,a number of vehicles are on the road and there's a man shoving snow,the road is literally closed because of snow,they are large buildings on the other side,then they are two people walking on the other side,and there's one vehicle on the road with lights on
2082,a mother has lifted her child because she's crying,she's wrapped the baby with a brown and yellow material with writings on it,the baby has tears on its entire face and drooling,there's a group of people behind and a house,there's a group of people at the far end that have lifted two banners
2083,they are three road signs on the road,there's a vehicle on the left,and they are two young men riding their motorcycles on the road at night,then they are robots on the other side,then they are also huge street lights on the road
2084,a man is standing between two ladies on the road,he is wearing shorts and a hat with patches,they are two photographers taking pictures of them,there's a yellow vehicle on the right,they are cards and vehicles behind them
2085,an old man is walking on the road,he is wearing a blue trousers and a black jersey,they are similar buildings on the other side,there's someone at a distance wearing a grey shirt,some of the buildings have shops on them and people are passing on the road
2086,a child is playing in a water ball alone,the child is jumping over something that's patched,he is wearing green shorts,and it seems the short is from of water,the child is happy and has his hands in the air
2087,a group of people is walking while it's raining,two ladies are walking and holding an umbrella,there's one last walking being soaked she doesn't have an umbrella,they are houses are the far end,the ladies are in one umbrella and it's raining heavily
2088,a young lady and a man are standing on one side of a table,it seems are inside a workshop,there's a door behind them,the young man is holding a paper,they are both dressed in black
2089,a lady is working in a hospital,she's looking through a microscope,she's dressed in blue,on one side at the far end are two computers,she's tied her long hair with a ribbon
2090,water is dropping off a hill,there's grass on the sides of the hill,they are two people walking close to the hill,and there's a river on the ground,there's a person in front wearing a brown shirt
2091,a child is playing with a blue plate,they are trees behind him,he is very happy and jumping around,they are flowers on one side,then they are trees on the other side too
2092,dogs are racing in a dog racing competition,two are in front while the other is behind,the all have some rods stuck to their mouths,one is wearing something with writings on it,they are running on a road full of sand
2093,a lady is holding a rugby ball,she's wearing a brown shirt and a black trousers,she's throwing the ball at someone on the other side,there's at house at one end,then they are trees and some buildings on the other side
2094,a child is baking cake inside the house,they are eggs beaten inside a bowl,she's using an electric machine to bake the cake,she's inside the kitchen,she's baking all alone
2095,a young man is writing on another young man's hand,he is wearing a black striped hat,the one tattooing has long black hair,he has paint to write him with,the one being tattooed is wearing a blue trousers
2096,the men are standing on one side,there's a group of people behind them,there's a man standing alone on one side,he is happy and holding papers,the two men are wearing glasses
2097,a child is playing inside a store,the mother is behind him,there's a bowl of sweets on one side,they are children's sit in the floor,they are black sits on the left
2098,a man is sited on a chair outside,he is sited all alone,he is wearing shorts and a white shirt,he has grey hair,"even his beards are grey, he is getting old"
2099,a young man is playing on a skateboard,he is wearing a brown shirt and a black trousers,there's a person sited on the left,they are tiny flowers behind him,and there's also a house being built
2100,a lady is holding a camera and taking pictures,she's laying on the ground while taking pictures,she has a black camera,she's wearing a white shirt and a black watch,she's laying on a green lawn
2101,a child is on snow,he is wearing cozy clothes,he is wearing a patched hat,he has put her hands up in the air,and he is wearing gloves
2102,three young men are standing close to a vehicle,there's another vehicle coming behind them,one of the young men is dressed in black,there's fire on the ground,they are other vehicles on the road
2103,a child is hammering a plate,it seems he is singing,he is all alone as he hammers,he is holding a brown hammer,he is dressed in blue
2104,a child is playing,she is on a green swing,she's smiling as she plays,she's dressed in clothes of different colors,she's wearing a white trousers and brown socks
2105,a young man is on a skateboard,he is wearing a brown jersey with writings on it,he is wearing an helmet,it's easy to see the clouds on the other side,they are trees and hills on the other side
2106,a man is standing in a work shop,he is wearing a brown shirt with glasses and holding a metal rod,they are lots of tools in a box,and they are metal rods on top,there's a chair right beside him
2107,the ladies are standing on the road,they are standing with both big and small dogs,they have tied some dogs around their necks,there's a bush on one side,the bush is full of grass
2108,a lady is riding a brown bicycle,another lady is trying to cross the road,they are some people walking on the road,they are motorcycles on the other side of the road,there's a shop on the other side of the road
2109,a group of people is walking on the road,among them are men and women both young and old,they are two vehicles parked on the road,then there's a tent mounted on the other side,and they are houses in the other side
2110,some young men are playing ball in the ground,two players are on the ground,there's a group of people watching them as they play,others are sited on benches inside the field while others are outside,then outside the fence of the field are houses
2111,two dogs are playing,there's a tree behind it,there's grass on the ground and snow,one dog has its mouth open,both dogs have shiny fur
2112,two young men are playing a bowling game,one of them has bent while he plays,the other one is watching him as he plays,the one playing is wearing a blue shirt,the one standing looks very happy
2113,a young man is sounding a trumpet while sited,he is sited all alone,he is dressed in black,at the edge are other people playing different sound instruments,he's cheeks are full as he sounds the trumpet
2114,a child is sitting down on the road,you may wonder what the child is doing,there's a man besides him wearing a black trousers,they are some people passing close to where the child is sited,the child looks like he is about to start crying
2115,stone cricket players are dressed in the same clothes,and they are playing cricket,the sports field is full of grass and white lines that have been drawn,one of them is bent and trying to catch the ball,the other one standing is trying to get the ball
2116,a young man is playing on a skateboard,he is wearing shorts and a shirt,it seems like he is about to fall,there's another man on the road walking at a distance,they are houses at the far end
2117,a young man has lifted a child,it seems this is the child's father,the child is crying and is covered in blankets,I think it's a new born baby,"indeed, because this is a hospital"
2118,a young man is on,there's a crowd of people watching,the horse is running,there's another man that has raised his hands in the air,it seems he is in a competition
2119,some young men and women are on a hill,the hill is full of snow,they are other hills behind the young men,and there's fog on top,it seems it's very cold on top of this hill
2120,stone ladies are playing a game inside a sports field,stone are dressed in white clothes,others are dressed in brown and blue clothes,there's a crowd of people watching them play,they are trees and grass behind them
2121,a young man is walking on the road,he is wearing a blue shirt and a grey trousers,two men are standing on one side of the bridge,they are lots of bicycles on one side of the bridge,and there's a house at a distance
2122,a young man is standing near plastics full of dirt,he is wearing a green trousers,he is holding a stick and a plastic,they are people passing on the other side of the road,it seems they are waiting for vehicles
2123,stone dogs are running,one dog is black while the other is brown ,it seems they are playing,they are fighting each other,and they are running so fast
2124,some young men are playing a game,the game they are playing is rugby,they are two teams that are playing,one of the players is on the ground with the ball,they are people watching them play in the stadium 
2125,a man is holding a camera,she's wearing a boxed shirt and taking pictures in a shop,there's a young man standing on the door,they are clothes inside the shop,there's a mirror behind
2126,a man and a woman are dropping off a vehicle,it seems they are talking about something,he is wearing a shirt and there's a lady wearing glasses,there's a poster writing no smoking while in vehicles,other people are not inside their vehicles
2127,people are inside a party house,there's a fat lady and man,there's a lady standing with a bag in her hands,a young man is wearing a brown shirt and holding a paper in his hands,the young man wearing a hat is talking to people
2128,some little kids are playing on water,they are very happy,there's a little boy wearing black shorts,the little girl is wearing a patched shirt and shorts,then there's a lady on one side
2129,a young man is playing wearing a hat,they are papers and a crate on the table,then they are trees and grass on the other side,and there's also a river,there's a boat on the river
2130,a young man is laughing,this is not a genuine laugh,indeed it's a fake one,he has white and brown eyes,he has yellow teeth and red gums
2131,two dogs are running at the river,it is not a very deep river,they are running towards the sand,they are the same dogs with patches,one is bigger than the other
2132,a person is walking on the road,there's another crossing over to a house,they are lots of vehicles on the road,there's a group of people of the road,all of them are standing while one is walking
2133,a lady is standing with a dog,the dog is jumping towards the girls hand,there's little grass on the ground,there's a bin behind them,and there's a tiny line of rocks behind
2134,some people are standing in a line,I think they are waiting for something,a man is looking at his phone,they are two ladies with their hands in their pockets,they are whites while one is black
2135,stone ladies are inside a house partying ,they seem very happy,it seems like a day to party,there's a drink on the table,they are some ladies watching while there's one pressing their phone and two singing
2136,stone men are playing rugby,some are dressed in white while others are dressed in blue,a young boy dressed in blue has thrown the ball,others are wearing white shirts add black shorts,it seems the players in black have lost
2137,they are cricket players in a ground,it seems he is trying to hold a ball,indeed that's what he is trying to do,he is wearing white shorts,he has thrown the ball into the air
2138,A man and two women are in a table eating,the young man has placed his hand on his cheek,it seems he is thinking about something,the ladies sited with him are taking about something,and they are holding forks
2139,a young man is on a lawn posing,why is he sited this way?,it seems he is taking a picture,he is wearing a brown shirt and a blue trousers,he is wearing a hat on his head
2140,some people are walking on different paths,there's a young man on his bicycle,they are walking barefooted,they seem to be doing different work,they are very tall buildings on the other side
2141,a young man is working,he is wearing a shirt and a patched trousers,he is wearing a work suit,where is he?,he is in a workshop
2142,a lady is cleaning a vehicle,she's wearing a green trousers,she's wearing the vehicle alone,the trousers is a really nice one,she's using water to wash the vehicle
2143,some are people sited outside shops,it's outside a restaurant,they are people sited on tables having food,there's a lady standing outside the door,she's selling food
2144,stone male and female photographers are on a hill,one of the young men has a camera,others are standing and posing,there's a bottle of water on the rock,the one taking pictures of shirtless
2145,a man is standing on a red and reading a newspaper,he is about to get on a train,he is standing on the middle of trees full of posters,he looks interested in reading in what he is reading,he is wearing a white shirt
2146,a woman is walking alone,she's from shopping,she's lifted paper plastics,and she seems very tired,it's because the things are very heavy
2147,two women are on a boat on the river,what is she doing on the river?,she's paddling the boat,there's a little child in front,the boat looks like the clothes she's wearing
2148,a black dog is standing in front of a ball,what's the dog doing?,it seems it wants to play,where is it playing?,it seems it's inside a playground
2149,stone young men are driving their motorcycles,what are they really doing?,they are in a motorcycle competition,they are riding so fast because they want to win,the one in front is wearing something green on top
2150,a group of young men are playing their guitars,there's a group of people watching them,they are motorcycles on the other side of the road,there's a woman on a wheelchair,they singers are sited under a tree
2151,a crown is on the road greeting a child,what's this crown doing?,it's playing with the child,and the child is staring at it,and it's dressed in a scary way
2152,a young man is climbing a hill with a rope around his waist,there's snow on top of the mountain,he is using the rope in his hands to climb,he is wearing a brown jersey,the hill is so high 
2153,a lady and a young man are outside a store,what are they doing?,the young lady is talking on the phone while the man is walking,how does this man look like?,he has a belt and well dressed
2154,an elderly man with a young man are playing tennis,two young men are wearing hats,they are enjoying the game that they are playing,what's this that one of them is wearing?,he is wearing an helmet
2155,stone young ladies are posing on the road,what are they really doing on the road?,it seems they want the men to notice them,they are wearing black dresses,it seems that they are drunk
2156,a young man has lifted a child in the air,what is he really doing?,he is trying to stop the baby from crying,that's why he had thrown the child into the air so that he can stop crying,he is not even afraid of throwing the baby
2157,a man is playing on a skateboard,what is he doing?,he is in the air with the skateboard,is he not afraid to fall?,it seems he is talented for being on a skateboard this way
2158,a man and a lady have parked their bicycles,what are they really doing?,they are sitting and resting,it's because they are tired of riding their bicycles,they are other people riding in front 
2159,a lady is walking and shouting,she's on a bridge,she's shouting from the heart,there's a very tall metal rod behind her,she's all alone in this place
2160,a man is teaching his child,indeed he is,he is sitting on the ground with his child,what are they doing?,he is teaching the child how to write
2161,a lady is sited on table having food,what is she eating?,she's having some buns with some water,there's a young man passing behind her,this is inside a playground
2162,a young is on the roof working,he is shirtless as he works,he is hammering the house,he is putting wood sticks on it,he seems to be paying attention to what he is doing
2163,stone young men are singing and playing the guitar,there's a crowd of people watching them,one of the young men has a bottle with what to drink in it,two young men are wearing spectacles,one of the young men has a brown guitar
2164,stone young men that were running are sited,some are wearing yellow shirts while others are in blue shirts,others are wearing brown shirts,one is dressed in a cat outfit,there's a white vehicle at the far end
2165,a young man is inside jumping up and down ,he is wearing a yellow shirt and green shorts ,at the far end on the right is a grill,there's a washing machine on his left,then there's a chair in front
2166,some men are working while others are standing,one is behind the vehicle,they are talking,there's a house close to wall,two vehicles are on the side of the road
2167,the dog is chasing a ball,it's barking as it runs,it's playing with the ball,it has lifted it's front legs,they are plates on this other side
2168,a group of soldiers are standing outside a stadium,there's a lady and eight young men,six are dressed in similar clothes,it seems that they are guarding outside,one lady and one young man are whites
